stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1686.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,576.19,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,60.46,5.26,0,2.63,0,0,0,18.4,0,0,0,0,0,270.76,0,0,0,0,0,0,0,0,0,0,94.63,44.69,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,12.59,0,0,0,53.5,0,0,0,0,0,37.76,0,0,0,0,0,3.15,0,0,0,0,434.28,62.94,0,0,44.06,0,9.44,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,4,1,8,3,0,20,0,0,0,4,2,0,0,0,0,0,0,0,0,3,0,5,395,13,2,1,1,0,1,2,1,0,6,136,0,0,0,0,0
 24-34,0,0,4.93,0,3.28,0,0,20.52,0,0,0.82,5.75,0,0,0.82,0.82,0,0,0,0,0,9.03,0,13.13,508.11,0.82,9.03,1.64,0,0.82,0,0,0,0,1.64,151.04,0,0,1.64,0,0
 36-46,0,0,0.81,0,2.42,0,0,25.78,0,0,1.61,16.92,0,0,0,0,0,0,0,0.81,0,16.92,0.81,9.67,676.76,0.81,4.83,1.61,0,0,0,0,0,0,0.81,150.66,0,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,0,70,0,0.57,0,22.38,0,0.57,0.57,0,0,0.57,0,0.57,0.57,26.97,0.57,7.46,565.2,0,5.16,0,0,0.57,0,0,0,0,0,111.32,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,0,106.99,0,0.98,0.98,43.19,1.96,0,0,0.98,0.98,0,0,0,0,36.32,1.96,4.91,640.93,0,2.94,0,0,0,0,0,0,1.96,0,121.71,0.98,0,0.98,0,0
 72-82,0,0,2.94,0,2.94,0.98,0,151.18,0,0,1.96,30.43,0,0,0,0,0,0,0,0,0,62.83,4.91,8.83,549.73,0,3.93,1.96,0,0.98,0,0,0.98,0,0,48.1,1.96,0.98,0,1.96,0
 84-94,0,0,0,0,5.31,0,1.06,83.9,0,0,1.06,31.86,2.12,0,0,0,0,0,2.12,1.06,1.06,36.11,1.06,7.43,228.34,0,5.31,3.19,0,1.06,0,0,0,1.06,0,26.55,0,3.19,0,1.06,0
 96-106,0,0,2.19,0,0,2.19,0,62.29,0,1.09,0,34.97,1.09,0,0,0,0,1.09,0,1.09,0,37.16,4.37,5.46,204.36,0,6.56,1.09,0,3.28,0,0,0,0,0,10.93,0,1.09,1.09,2.19,1.09
108-118,0,0,1.53,0,4.6,0.77,0,55.92,0.77,0,0,26.04,0.77,0,0,0,0,0,0,0.77,0,32.17,0.77,3.06,252,0,3.06,0,0,0.77,0.77,0,0,0,0,6.89,0.77,0.77,1.53,0,0
120,0,0,1.96,0,3.92,0,0,29.4,0,0,1.96,17.64,0,0,0,1.96,0,0,0,1.96,0,19.6,0,0,258.69,1.96,3.92,1.96,0,0,0,0,0,0,0,11.76,0,1.96,1.96,0,0
