stage,axial,blastomeres,epidermis,eye,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,52.71,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,18.39,337.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,13.14,0,0,0,0,0,0,0,0,0,21.03,5.26,0,10.51,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,9.44,0,3.15,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,0,2,1
 24-34,0,0,0.82,1.64,0.82,0.82,0,0,0.82,0,0,0.82,0,7.39,0,0,0,13.95,0,1.64,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,1.61,0,11.28,0,0,0,13.7,0,0,0
 48-58,0,0,0,0.57,1.15,0,0,0,0,0,0,1.15,0,4.59,0,0,0,1.15,0,0.57,0
 60-70,0,0,0,3.93,3.93,0,0,0,0,0,0,0.98,0,4.91,0,0,0,4.91,0,1.96,0
 72-82,0,0,0,0.98,3.93,0,0,0,0,0,0,0.98,0,0,0,0,0,10.8,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,0,2.12,0,1.06,0,0,0,23.36,0,0,1.06
 96-106,0,0,1.09,1.09,1.09,0,1.09,2.19,0,0,0,1.09,0,6.56,0,0,0,21.86,0,0,1.09
108-118,0,0,1.53,1.53,0,1.53,0,0.77,0,0,0.77,1.53,1.53,0.77,0,0,0,16.85,0,0,0
120,0,0,1.96,1.96,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,9.8,0,0,0
