stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,46,0,0,0,1,0,0,1,5,12,0,0,0,0,0
 24-34,0,3.28,0.82,3.28,0,0,0,0.82,0,0,0,0,0,0,0,0.82,4.1,0,0,0.82,267.6,0.82,0,0.82,0,0,0,0,0.82,36.94,0,0,0,0,0
 36-46,0,0.81,0,10.47,0.81,0,0.81,4.03,0,0,0,0,0.81,0,0,5.64,3.22,0,0,0,688.85,0,0,0,0,0,0.81,0,0,68.48,0,0,0.81,0,0
 48-58,0,1.72,0,40.74,0,1.15,1.15,13.2,0,0,1.15,0,1.15,0,0.57,8.03,7.46,0,0,1.72,1019.08,0,0.57,0.57,0,0,0.57,0,0,85.5,0,0,1.72,0,0
 60-70,0,4.91,0,118.76,0,0.98,0,5.89,1.96,0.98,0.98,0,6.87,0,0,0,13.74,0,0,1.96,1781.46,0.98,0,0,0,0,1.96,0,0,135.45,0,0,1.96,0,2.94
 72-82,0,17.67,4.91,196.33,0,0.98,0,31.41,0,0.98,0,0,9.82,0,0,2.94,25.52,0.98,0,3.93,1750.3,0,0,2.94,0,0,3.93,0,0,122.71,0,0,2.94,0,0
 84-94,1.06,8.5,3.19,141.25,1.06,1.06,0,26.55,0,0,0,1.06,8.5,0,0,5.31,26.55,0,1.06,3.19,792.28,0,1.06,1.06,0,0,1.06,0,0,67.97,1.06,1.06,0,1.06,0
 96-106,1.09,12.02,2.19,100.54,1.09,0,0,28.41,1.09,0,2.19,1.09,8.74,1.09,0,6.56,12.02,0,0,1.09,686.31,0,1.09,0,0,1.09,5.46,0,0,37.16,0,0,1.09,1.09,0
108-118,0,6.89,0,91.92,0.77,0,0.77,23.74,0.77,0,0,0,7.66,0,0,5.36,16.85,0.77,0,0.77,771.32,0.77,0.77,0,0,0.77,2.3,0,0,28.34,0,0.77,3.83,0,0.77
120,0,5.88,0,76.43,0,3.92,0,21.56,3.92,3.92,0,0,5.88,0,0,3.92,13.72,0,0,0,731,0,0,0,0,0,3.92,0,0,25.48,0,0,1.96,1.96,1.96
