stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,6.13,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,18.4,0,5.26,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,19.7,0,0.82,0,0,0.82,0,0,1.64,1.64,0,0,0
 36-46,0,0,0,0,1.61,4.83,4.83,0,22.56,0,0,0,0,0,0,0,2.42,1.61,0,0,223.98,0,0.81,0,0,0.81,0,0,0.81,17.72,0,0,0
 48-58,0,0,0,0.57,12.05,3.44,5.74,0.57,82.05,0,0,1.15,0.57,0,0,0,3.44,3.44,0,0,282.31,0,0.57,0,0,1.72,0,0,1.72,59.68,0,0,0.57
 60-70,0,0,0,0,2.94,5.89,6.87,0,40.24,0,0,0,0,0.98,0,0,0,9.82,0.98,0,74.6,0,0,0,0,0.98,0,0,1.96,32.39,0,0,0.98
 72-82,0,0,0,0,4.91,0.98,4.91,0,22.58,0.98,0,0,0,0.98,0.98,0.98,0,8.83,0.98,0,31.41,0,1.96,0,0.98,0.98,0,0,1.96,4.91,0.98,0,0
 84-94,0,0,0,1.06,8.5,4.25,9.56,0,19.12,0,0,1.06,0,1.06,0,0,2.12,10.62,0,4.25,24.43,0,0,0,0,4.25,0,0,3.19,12.74,0,3.19,0
 96-106,0,0,0,2.19,5.46,3.28,4.37,0,12.02,0,0,0,0,3.28,0,0,0,8.74,1.09,1.09,21.86,0,3.28,0,0,2.19,0,0,3.28,2.19,0,4.37,0
108-118,0,0,0,6.89,2.3,3.06,11.49,0,16.09,0,0,0,0,6.13,0.77,0,0.77,6.89,0.77,3.83,39.83,0.77,1.53,0,0,3.83,0,0,3.83,3.06,0,1.53,0
120,0,0,0,3.92,1.96,3.92,11.76,0,23.52,0,0,1.96,0,3.92,0,0,0,13.72,0,0,37.24,0,1.96,0,1.96,3.92,1.96,0,0,0,1.96,3.92,0
