stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,232.93,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,147.21,5.26,0,0,31.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0,198.26,12.59,0,0,81.82,0,0,6.29,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,1,1,0,7,0,0,5,8,0,0,0,0
 24-34,0,0,0,0,0,0,0,8.21,0,0.82,0,0,0.82,0.82,0,0,3.28,0,0,4.1,23.8,0.82,0.82,0,0,3.28,0,0.82,0.82,1.64,2.46,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0.81,0.81,0,0,0,0.81,0.81,0,0,2.42,0,0,0.81,14.5,0,0,0,0,0,0,0,2.42,0,4.03,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,4.02,0.57,1.15,0,0,0,0,0.57,0.57,0.57,0,0,1.15,9.75,0.57,0,0.57,0,0.57,0,0.57,2.87,0,2.87,0,0,0,0
 60-70,0,0,0.98,0,1.96,0,0,11.78,0,1.96,0,0,0,0.98,1.96,1.96,4.91,0.98,0,0,11.78,0,0,0,0,1.96,0,0.98,4.91,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,9.82,0.98,0,0,0,0,0,0,0,2.94,0,0,0.98,9.82,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,5.31,2.12,0,19.12,1.06,3.19,6.37,0,1.06,5.31,1.06,0,6.37,0,0,3.19,10.62,0,1.06,0,0,6.37,0,2.12,2.12,0,2.12,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,2.19,0,1.09,0,0,0,1.09,0,0,1.09,0,0,0,6.56,0,2.19,0,1.09,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,3.83,2.3,2.3,6.13,2.3,0,1.53,0,1.53,0,0,3.83,0.77,0,0,2.3,8.43,0.77,0,0.77,0,3.83,0,0.77,1.53,0,0,0,3.06,0,0
120,0,0,0,0,9.8,3.92,1.96,9.8,0,9.8,11.76,0,5.88,7.84,0,0,3.92,0,1.96,7.84,27.44,0,1.96,3.92,0,11.76,0,3.92,1.96,0,1.96,1.96,0,0,0
