stage,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,spinal_cord,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,6.57,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0.81,1.61,0,0
 48-58,0,0,0.57,0,0,0,0,0,2.87,0,0,0,1.15,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,0,14.72,1.96,0,0,6.87,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,69.03,3.19,0,0,1.06,0,0,0
 96-106,2.19,0,2.19,0,1.09,0,3.28,0,153,3.28,1.09,0,14.21,0,1.09,0
108-118,1.53,0,2.3,0.77,0,0.77,0,0,331.66,1.53,0,0.77,16.09,0,0,0.77
120,0,1.96,0,0,0,0,0,0,166.58,0,0,0,7.84,0,0,0
