stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,2,3,0,0,0,2,0,0,0,0,0,0,6,0,7,10,0,0,0,1,82,0,0,0,0,0
 24-34,0.82,1.64,0,0,0,0.82,0,0,0,0,0.82,0,22.98,0,4.1,57.46,0,0,0,0,142.83,0,0,0.82,0,0
 36-46,0,0,0,1.61,0,0.81,0,0,1.61,0,0.81,0.81,7.25,0.81,1.61,74.93,0,0,0.81,0,225.59,0,0,0,0,0
 48-58,0,0.57,0.57,5.74,0,6.31,0,0,0,0,0,0,7.46,0,2.3,52.79,0,0,0.57,0,129.68,0,0,0,0,0
 60-70,0,0,0,4.91,1.96,0.98,0,0,0,0,0,0,9.82,0.98,0,67.73,0,0.98,0.98,0,60.85,0,0,0,0,0.98
 72-82,0,0.98,0,5.89,2.94,1.96,0.98,0,0,0,0,0,9.82,0,0.98,70.68,0,0,0,0,20.61,1.96,2.94,0,0,0
 84-94,0,0,0,6.37,0,7.43,0,0,1.06,1.06,0,0,6.37,0,1.06,40.36,1.06,0,1.06,0,9.56,3.19,3.19,0,2.12,0
 96-106,0,0,0,3.28,0,2.19,1.09,0,1.09,1.09,0,0,5.46,0,0,24.04,0,3.28,1.09,0,4.37,1.09,0,0,1.09,0
108-118,0,1.53,0,3.06,0.77,1.53,0.77,0,1.53,0,0,0,1.53,0.77,0,32.17,0,0,0.77,0,4.6,1.53,0,0,0,0
120,0,0,0,3.92,1.96,1.96,0,0,3.92,0,0,0,1.96,0,0,21.56,0,0,0,0,9.8,1.96,0,0,0,0
