stage,epidermis,eye,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,presomitic_mesoderm,spinal_cord,taste,vasculature
 14-21,0,0,0,0,2,0,0,2,1,0,0,2,2,0,0
 24-34,0.82,0,0,0,0.82,0,0,0,0,6.57,0,0,0,0,0
 36-46,0.81,0.81,0,0,0,0,1.61,0,0,7.25,0,0,3.22,0,0
 48-58,0.57,0.57,0,0,0,0,1.72,0,0,2.87,0,0,2.87,0,0
 60-70,0,0,1.96,0.98,0.98,0,0,0,0,1.96,0,0,0.98,0,0
 72-82,0,0,0,4.91,0,0,1.96,0,0,4.91,0,0,0,0,0
 84-94,1.06,0,1.06,11.68,1.06,0,0,0,0,2.12,0,0,0,0,1.06
 96-106,1.09,1.09,1.09,27.32,0,1.09,2.19,1.09,0,6.56,1.09,0,0,0,0
108-118,0,1.53,0,33.7,0,0,0.77,0,0.77,1.53,0,0,0,0.77,0
120,1.96,3.92,0,13.72,0,0,0,0,0,1.96,0,0,0,0,0
