stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,visceral_smooth_muscle
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,18.39,128.72,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,1,0,1,7,0,0,0,0,3,0,0
 24-34,0,0,0,0,1.64,0.82,0.82,0,0,0,0,0,0,9.85,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,1.61,0,0.81,0,0,0,1.61,0,0,9.67,0,0,0,0,8.06,0,0
 48-58,0,0,0.57,0,14.35,0,0,0.57,0,0,2.3,0,0,11.48,0,0,0,0,1.72,0,0
 60-70,0,0,0.98,0,53,0,0,0,0,0,3.93,0,0,14.72,0,0,0,0,3.93,0,0
 72-82,0,0,0,0.98,72.64,0.98,0,0,0.98,0,0.98,0,0,14.72,0.98,0.98,0,0,1.96,0,0
 84-94,0,0,1.06,0,61.6,2.12,0,0,0,0,2.12,0,0,13.81,0,0,0,0,1.06,0,1.06
 96-106,0,0,1.09,0,41.53,1.09,0,0,1.09,0,1.09,1.09,0,5.46,0,0,1.09,1.09,0,0,1.09
108-118,0,0,0.77,0,32.94,0,0,0,0,0,0,0.77,0.77,7.66,0.77,0,0,0,0,0.77,0.77
120,0,0,0,0,31.36,1.96,0,0,0,0,1.96,0,0,29.4,0,0,0,0,0,0,0
