stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,4,0,2,822,117,2,0,13,0,92,57,0,0,0,2,0,0,0,0,110,4,0,66,185,167,1,4,448,0,8,1576,21,16,496,1348,0,0,23,0,0
 24-34,0,0,0.82,146.11,6.57,12.31,0.82,47.61,3.28,79.62,23.8,0.82,0,0,0.82,1.64,0,0.82,4.93,120.67,1.64,0,114.1,123.95,27.09,0,0,0,0,10.67,0.82,4.1,16.42,136.26,605.79,0,0,73.06,0,4.1
 36-46,0,0,0,53.98,0,6.45,11.28,24.98,12.09,33.84,5.64,0,0,0,0,0,0,0,13.7,146.63,1.61,2.42,81.37,83.79,13.7,0.81,0,0,0,8.86,0,0.81,13.7,1.61,633.26,0,0,30.62,0,9.67
 48-58,0,0,0,26.97,0,17.79,11.48,35,17.79,42.46,4.02,0,0,0.57,0,0.57,0,0,10.33,141.73,1.72,4.59,59.1,91.23,7.46,0.57,0,0,0,18.94,0,0,4.02,0,549.71,0,0,24.1,0,9.18
 60-70,0,0,0,30.43,0,15.7,9.82,25.52,18.65,42.21,10.8,0,0,0,0,0,0,0,2.94,101.1,0,6.87,23.56,68.71,6.87,0,0.98,0,0,6.87,0.98,1.96,4.91,0,560.45,0,0,16.69,0.98,9.82
 72-82,0,2.94,0,23.56,1.96,30.43,1.96,11.78,25.52,76.57,25.52,0,0.98,1.96,0,1.96,0.98,1.96,11.78,166.88,1.96,12.76,43.19,71.66,4.91,0,0,0,0,11.78,0,0.98,2.94,0,331.8,0,2.94,34.36,10.8,4.91
 84-94,0,5.31,0,50.98,0,44.61,0,41.42,12.74,67.97,44.61,0,1.06,1.06,0,0,1.06,1.06,3.19,117.89,1.06,9.56,44.61,41.42,4.25,2.12,1.06,0,0,36.11,0,3.19,5.31,0,207.1,0,0,32.92,9.56,3.19
 96-106,0,1.09,0,45.9,1.09,16.39,1.09,40.44,20.76,50.27,48.09,0,0,0,2.19,6.56,0,2.19,8.74,96.17,2.19,12.02,38.25,43.71,5.46,0,0,0,0,15.3,0,1.09,3.28,0,91.8,1.09,2.19,42.62,7.65,8.74
108-118,0,2.3,0,34.47,0,7.66,1.53,39.06,9.96,40.6,51.32,0,0,0,1.53,6.13,0,1.53,3.83,83.49,0.77,6.89,33.7,45.96,6.13,0,0,0,0.77,16.85,0,0.77,6.89,0,60.51,0,0.77,28.34,9.96,4.6
120,0,0,0,39.2,0,5.88,1.96,23.52,9.8,35.28,39.2,0,0,0,3.92,3.92,0,0,0,86.23,1.96,7.84,39.2,29.4,7.84,0,0,0,0,21.56,1.96,0,3.92,0,37.24,0,0,17.64,7.84,7.84
