stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,6.13,0,0,0,0,0,0,0
  7-9,10.51,10.51,0,10.51,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,160.35,7.89,0,0,68.35,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,15.73,0,0,25.18,0,0,0,0,3.15,0,0,0,0,0,0,0,302.11,6.29,0,0,138.47,0,6.29,15.73,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,25,0,0,0,1,0,0,0,0,14,0,0,0
 24-34,0,0,0,0,2.46,0,4.93,0,0.82,1.64,0,0,0.82,0,0.82,0,10.67,0,4.1,59.92,0,1.64,0,0,0,0,0.82,0.82,15.6,0,0,0
 36-46,0,0,0,0,0.81,0,39.48,0.81,1.61,4.83,0,0,0,0,0,0.81,8.06,0,3.22,84.6,0,2.42,0,0,0,0,0,0,20.95,0,0,0
 48-58,0,0,0,0,0.57,0,52.22,0,0.57,4.59,0,0,0.57,0,0,0,10.9,1.15,2.3,64.27,0,2.87,0,0,0,0,0.57,0,12.62,0,0,0
 60-70,0,0,0,0,1.96,0,64.78,0.98,0,4.91,0,0,0,0,0,0,17.67,0.98,1.96,51.04,0.98,1.96,0,0,1.96,0,0,0,7.85,0.98,0,0.98
 72-82,0,0,0,0,1.96,0,53.99,0,0,8.83,1.96,0,0.98,0.98,0,0,19.63,0,0.98,46.14,0,1.96,0,0,0,0,0,0,5.89,1.96,0.98,0.98
 84-94,0,0,2.12,0,1.06,0,37.17,0,0,5.31,0,0,1.06,2.12,0,0,8.5,1.06,1.06,25.49,0,2.12,1.06,0,0,1.06,0,0,1.06,0,0,0
 96-106,0,0,0,0,2.19,1.09,31.69,1.09,0,4.37,0,0,1.09,0,0,0,5.46,0,0,24.04,0,4.37,2.19,0,1.09,0,0,0,2.19,2.19,0,0
108-118,0,0,0,0,0.77,0.77,7.66,0,0,0,0,0,0,0.77,0,0,6.13,1.53,0.77,12.26,0,0,1.53,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,17.64,0,0,1.96,0,0,1.96,0,0,0,9.8,0,1.96,15.68,0,1.96,1.96,0,0,0,0,0,1.96,1.96,0,0
