stage,eye,fin_mesenchyme,glial,mesenchyme,mucous,mural_cell,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord
 10-12,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,1,0,1,0,0,0,2,0,0,0,1,0,3,9
 24-34,2.46,0,0.82,0,0,0,3.28,0,0,0,0,0,0.82,41.04
 36-46,0,0,0.81,0.81,0,0,4.03,0,0,0,0,0.81,0.81,25.78
 48-58,0,1.15,1.15,0,0,0,4.59,0,0.57,0,0,0,0,5.74
 60-70,0,2.94,0.98,0.98,0,0.98,4.91,0,0,0,0,0,0,4.91
 72-82,0,0.98,1.96,0,0,0.98,1.96,0,0,0,0,0,0,5.89
 84-94,2.12,1.06,0,1.06,0,0,1.06,0,1.06,0,0,0,0,2.12
 96-106,1.09,0,0,1.09,0,1.09,4.37,1.09,0,0,0,0,0,8.74
108-118,0,0.77,0,0,0.77,0,1.53,0,0,0,0,0,0,1.53
120,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0
