stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.71,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,570.06,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,5.26,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,76.23,0,0,0,28.92,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,19,2,7,0,0,6,0,0,0,0,1,0,0,0,11,0,0,6,147,4,0,4,1,0,6,0,13,2,1,7,62,0,0,2,0
 24-34,0,0,0.82,0.82,8.21,0.82,31.19,0.82,0,7.39,0,0,0,0,0,0,0,0.82,22.16,0,1.64,11.49,325.06,0,3.28,0.82,0,0,12.31,0,0.82,0,0,0,72.24,0,0,4.1,2.46
 36-46,0,0,0,0,1.61,1.61,78.15,0.81,0,19.34,0,0,0,0,0,0,0,0,28.2,0,2.42,4.83,248.95,0,0.81,2.42,0,0,4.03,0,0,0,0,0,84.6,0,0,1.61,0.81
 48-58,0,0,0,0,2.3,0,84.92,0.57,0,43.04,0,0,0.57,1.15,0,0,0,0,27.54,0,1.72,2.3,191.08,0,0,1.15,0,0,0.57,0,0,0,0,0,36.72,0,0,2.87,0.57
 60-70,0,0,0,0,5.89,0,89.32,0.98,0,53,0,0,0,1.96,0,0,0.98,0,15.7,0,0.98,4.91,268.94,0.98,1.96,0,0,0,0.98,0,0,0,0,0,37.3,0,0,3.93,0.98
 72-82,0,0,0,0,0.98,0,63.81,0,1.96,86.39,0.98,0,0,0.98,0,0,0,0,24.54,0,4.91,4.91,322.97,0,0.98,0,0,0,2.94,0,0,0,0,0,31.41,0.98,0,1.96,0
 84-94,0,0,0,0,6.37,1.06,60.54,0,0,46.73,3.19,0,0,3.19,0,1.06,0,0,21.24,1.06,2.12,2.12,200.73,0,2.12,0,0,2.12,1.06,0,0,0,0,0,24.43,0,0,3.19,0
 96-106,0,0,1.09,0,4.37,0,41.53,0,0,50.27,3.28,0,2.19,3.28,1.09,1.09,1.09,2.19,14.21,1.09,0,2.19,165.02,0,2.19,1.09,0,0,1.09,0,0,0,0,0,20.76,0,1.09,4.37,0
108-118,0,0,0,0,2.3,0.77,30.64,0,0,33.7,0,0,0,3.06,0,0,0,0.77,7.66,0,1.53,0.77,183.83,0.77,0.77,2.3,0,0,0.77,0,0,0.77,0,0,9.19,0.77,0,4.6,0
120,0,0,0,0,3.92,1.96,23.52,0,0,64.67,1.96,0,0,1.96,0,0,0,0,9.8,0,0,0,264.57,0,0,0,0,0,1.96,0,0,0,0,0,11.76,0,0,0,0
