stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,periderm,pronephros,spinal_cord,taste,vasculature
 14-21,0,0,0,0,0,0,1,0,0,0,1,0,0,18,1,0,0,10,0,0
 24-34,0.82,0,0,13.13,0,0,9.03,0,0,0,2.46,0,0.82,84.55,0.82,0,0.82,19.7,0,0
 36-46,0,0.81,0,16.11,0,0,5.64,0,0,0,0.81,0.81,1.61,43.51,0.81,0.81,0,20.95,0,0
 48-58,0,1.15,0,17.21,0,0,6.31,0,0,0.57,4.02,1.15,0.57,23.53,0.57,0,0,11.48,0,0
 60-70,0,0.98,0,10.8,0,0,2.94,0,0.98,0,6.87,0,0,11.78,0,0.98,0,0.98,0,0.98
 72-82,0,0,0,4.91,0.98,0.98,7.85,0,0,0,11.78,0.98,1.96,14.72,0,0.98,0,0,0.98,0
 84-94,0,1.06,0,4.25,0,0,4.25,1.06,0,0,1.06,1.06,3.19,4.25,1.06,0,0,2.12,0,0
 96-106,0,1.09,0,2.19,0,0,3.28,0,0,0,3.28,0,0,5.46,0,2.19,1.09,0,0,0
108-118,0,0.77,0,3.83,0,0,3.83,0,0,0,3.83,0,0.77,9.19,0,0,0.77,0,0.77,0
120,0,1.96,1.96,3.92,0,0,7.84,0,0,0,3.92,0,0,9.8,0,1.96,0,3.92,0,0
