stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,19,1,0,0,1,0,1,4,0,39,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,1.64,0,0,0,0,0,0,0,0.82,0,0,1.64,79.62,0,0,0.82,0,0,0,0,0,89.47,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,3.22,1.61,1.61,0,0,0,0,0,0,0,2.42,0,0,1.61,159.52,0,0,0,0,0,1.61,0,0,67.68,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,9.18,0,2.87,0,0,0,0,0,0,0,3.44,0,0,0,228.37,0,0,0,0,0.57,0.57,0,0.57,55.66,0,0,0.57,0,0
 60-70,0,0,0.98,0,1.96,0,4.91,0,2.94,0,0,0.98,0,0,0,0,4.91,0,0,0,284.64,0.98,0,0,0,0,1.96,0,0,28.46,0,0.98,0.98,0,0.98
 72-82,0,0,0,0,2.94,1.96,26.5,0,2.94,0,0,0,0,0,0,0,6.87,0,0,0,289.59,0,0,0.98,0,0,0,0,0,19.63,0,0,1.96,0.98,0
 84-94,0,0,0,0,1.06,0,24.43,0,0,0,1.06,0,1.06,0,0,0,5.31,1.06,1.06,1.06,143.38,0,1.06,1.06,0,0,3.19,0,1.06,11.68,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,1.09,12.02,1.09,6.56,0,0,0,0,0,0,1.09,2.19,0,0,0,107.1,0,0,1.09,0,0,0,0,0,8.74,0,0,2.19,1.09,0
108-118,0,0,0,0,1.53,0,9.96,0.77,0,0.77,0,0,0.77,0.77,0,0,1.53,0,0,0.77,138.64,0.77,0,0.77,0,0,1.53,0,0,8.43,0.77,0,0,0,0.77
120,0,0,0,0,5.88,0,9.8,0,0,0,0,0,3.92,0,1.96,0,1.96,0,0,0,237.13,0,3.92,0,0,0,5.88,0,0,7.84,0,0,3.92,0,0
