stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,somites,spinal_cord,taste
  3-4,355.8,5732.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.91,0,0,0,0,0
  5-6,373.91,3242.58,12.26,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,110.33,0,0,0,18.39,110.33,0,0,0,0,0
  7-9,120.92,13.14,123.55,0,0,2.63,0,0,0,433.74,0,0,0,0,0,0,0,212.93,39.43,0,0,60.46,0,5.26,0,0,0,0
 10-12,3.15,0,66.09,0,0,15.73,0,0,0,110.14,0,0,0,0,0,0,0,270.64,25.18,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,1,33,0,0,0,0,0,2,0,0,0,0,1,0,0,1,19,0,0,0,1,0,0,1,1,0
 24-34,0,0,0,9.03,0.82,0,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,1.64,8.21,4.93,0,0,1.64,0,0.82,1.64,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,4.03,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,4.02,0,0,1.72,0,0.57,0,0.57,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.93,0,0.98,0,0,0,0,0,0,0,0.98,1.96,1.96,0,0,0,0.98,0,0,0,0,0,0,0,2.94
 84-94,0,0,0,9.56,0,0,2.12,0,2.12,0,0,0,2.12,1.06,5.31,0,0,0,0,11.68,0,0,0,0,0,0,0,8.5
 96-106,0,0,0,2.19,0,0,2.19,0,1.09,0,0,0,0,1.09,0,0,0,1.09,0,6.56,1.09,0,0,0,0,0,0,16.39
108-118,0,0,0,6.89,0,0,1.53,2.3,0.77,0,0.77,0.77,1.53,0,1.53,0.77,0.77,1.53,0,5.36,0.77,0,0,0,0,0,0,20.68
120,0,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96,5.88,0,0,0,1.96,1.96,0,0,0,0,0,0,0,5.88
