stage,blastomeres,erythrocytes,eye,glial,hatching_gland,immune,liver,mesenchyme,neural,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,10.51,0,0
 10-12,3.15,0,0,0,0,0,0,0,6.29,0,0
 14-21,0,0,0,0,0,7,0,0,0,0,0
 24-34,0,0.82,0,0,0,20.52,0,0,1.64,0.82,0
 36-46,0,0,0,0,0,4.83,0,0,0.81,0,0
 48-58,0,0,0,0,0,0.57,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,5.46,0,0,1.09,0,2.19
108-118,0,1.53,0,0,0,8.43,0.77,0.77,0,0,1.53
120,0,3.92,0,0,0,31.36,0,0,0,0,5.88
