stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,0,2.46,0,0,0,1.64,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,2.42,0.81,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,1.15,0,0,0,0,1.72,0,0,0.57,0.57,0,0,0,0,0
 60-70,0,1.96,0,1.96,0,0,0,0,0,0,0.98,0,3.93,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,2.94,0,0,0,2.94,0,0,0.98,0,0.98,0,0,0.98,2.94,0,0,0,2.94,0
 84-94,0,0,1.06,1.06,0,0,1.06,1.06,0,1.06,0,1.06,0,0,0,8.5,2.12,0,0,0,1.06,1.06
 96-106,0,1.09,0,1.09,0,1.09,0,4.37,0,3.28,0,0,0,2.19,1.09,2.19,1.09,0,1.09,0,6.56,0
108-118,0,1.53,0,1.53,0,0,1.53,2.3,0.77,0,3.06,0.77,1.53,0,0,2.3,4.6,0,0,0,3.06,0
120,0,0,0,0,0,0,1.96,7.84,0,0,0,0,1.96,0,0,5.88,0,0,1.96,0,1.96,1.96
