stage,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1,1,0,0,0,0,1,0,1,53,0,0,0,3,1,1,3,0,0,0
 24-34,0.82,0,1.64,1.64,0,0,12.31,0,1.64,160.07,0,0,0,0,0,1.64,7.39,0,0,0
 36-46,0,0,4.83,11.28,0,0,8.06,0,1.61,186.92,0,0.81,0,0,0,0,12.09,0,0,0
 48-58,0.57,0,3.44,13.77,0,0,5.16,0,1.72,123.94,0,0,0,0,0,0,1.15,0,0,0
 60-70,0.98,0,5.89,23.56,0,0,3.93,0,0,98.15,0,0,0,0,0,0,0,0,0,0.98
 72-82,0.98,0,9.82,27.49,0,0,1.96,0,0,77.55,0.98,0,0,0,0,0,1.96,0,0,0
 84-94,1.06,0,10.62,15.93,0,0,2.12,0,1.06,71.16,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,17.49,26.23,0,0,5.46,0,0,41.53,0,0,0,0,0,0,1.09,0,0,0
108-118,0.77,0,6.89,19.15,0.77,0.77,3.83,0.77,0,47.49,0,0.77,0,0,0,0,1.53,0,0,0
120,0,0,5.88,11.76,1.96,0,7.84,0,0,50.95,0,0,1.96,0,0,0,0,0,1.96,0
