stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,3.15,3.15,0,0,0
 14-21,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,2,1,0,0,0
 24-34,0,0.82,13.13,0,0.82,0,0,0,0,0.82,1.64,0,0.82,0.82,0,0.82,18.88,0,2.46,0,0,0,0,0.82,0,2.46,0
 36-46,0,0,27.39,0,0.81,0,0.81,0,0,0,0,0,0.81,0.81,0,0,14.5,0,0,0,0,1.61,0,0.81,0,0,0
 48-58,0,0,31.56,0,1.15,0,1.72,1.15,1.15,0,0,0,1.72,1.15,0,0,10.33,0,2.87,0,0,0,0.57,2.3,0,0,0
 60-70,0,0,76.56,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0,4.91,0,1.96,0,0,1.96,0,0,0,0,0
 72-82,0,1.96,56.94,0,0.98,0,1.96,0.98,0,0.98,0,0,4.91,0,0,0,13.74,0,5.89,0,0,3.93,0,0,0,3.93,0.98
 84-94,0,1.06,36.11,0,4.25,1.06,1.06,1.06,1.06,1.06,0,0,2.12,2.12,0,0,10.62,0,1.06,0,0,2.12,0,0,0,1.06,0
 96-106,0,2.19,26.23,0,0,0,0,3.28,0,3.28,8.74,0,0,2.19,1.09,0,4.37,0,4.37,0,0,2.19,0,0,1.09,2.19,0
108-118,0,0,43.66,0.77,0,0,1.53,1.53,0,0.77,6.89,0.77,3.06,0,0,0,6.89,0,5.36,0.77,0,2.3,0.77,0,0,0,0
120,0,1.96,3.92,0,1.96,0,1.96,1.96,0,0,1.96,0,0,3.92,0,0,7.84,0,1.96,0,0,0,0,0,0,0,0
