stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,4,15,0,0,1,1,0,1,0,1,4,17,0,0,0,0,0
 24-34,0,2.46,0,1.64,0,0,6.57,0,0.82,0,3.28,0,0,0,0,0,0,0,0,0,11.49,0.82,0,3.28,80.44,0.82,0,1.64,0,0,3.28,0,13.13,0,29.55,0,0,0,0,0
 36-46,0,0,0,4.03,0,0,9.67,0,0.81,0.81,5.64,0,0,0,0,0.81,0,0,0,0,5.64,0,0,4.83,156.3,0.81,2.42,0,0,0,2.42,0.81,4.83,0,34.64,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,0,37.3,0.57,1.72,0.57,11.48,0,0,0,0,0,0,1.15,0,0.57,20.08,1.15,0,4.59,114.76,0,2.3,2.3,0,0,1.72,0,4.02,0,32.13,0,0,1.15,0,0.57
 60-70,0,0.98,0,0.98,0,0,31.41,0,0.98,1.96,9.82,0,0,0,0.98,0,0,0.98,0,0,13.74,0,0,1.96,118.76,0.98,0.98,0,0,0,0.98,0,1.96,0,16.69,0,0,0.98,0,0
 72-82,0,0,0,1.96,0,0,32.39,0,0,0.98,10.8,0.98,0,0,0,0.98,0,0.98,0.98,0,19.63,0,0.98,1.96,117.8,0,1.96,0.98,0,0,3.93,0,7.85,0,10.8,0,0,0.98,0,0
 84-94,0,1.06,0,4.25,1.06,0,36.11,0,1.06,1.06,7.43,5.31,0,0,2.12,0,1.06,1.06,0,0,5.31,1.06,4.25,3.19,53.1,0,0,0,0,0,7.43,0,25.49,0,5.31,0,0,3.19,1.06,0
 96-106,0,0,0,7.65,0,1.09,14.21,2.19,1.09,0,6.56,4.37,0,1.09,3.28,2.19,0,1.09,1.09,0,10.93,0,0,0,38.25,0,1.09,0,0,0,43.71,0,9.84,0,2.19,1.09,1.09,3.28,2.19,0
108-118,0,0,0,3.83,0.77,2.3,16.85,0,0.77,0,5.36,1.53,0,0.77,1.53,1.53,0,1.53,0,0,5.36,0,0.77,3.06,34.47,0,1.53,1.53,0,0.77,10.72,0,14.55,0,0,0,0,1.53,0.77,0
120,0,0,0,1.96,0,0,7.84,0,0,0,5.88,1.96,0,0,0,0,0,1.96,0,0,3.92,0,0,0,29.4,0,1.96,0,0,0,23.52,0,5.88,0,0,0,0,0,0,0
