stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,7.89,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,15,1,3,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,7,16,3,0,0,2,0,1,4,1,1,18,6,0,0,2,0,0
 24-34,0,0,0,12.31,1.64,0.82,0,0,0.82,0,0,0.82,0.82,0,0,0.82,0,0,27.09,0,0,8.21,15.6,0.82,0,2.46,0,0,4.1,0,0.82,0,0,6.57,0,0,4.93,0,0.82
 36-46,0,0,0,6.45,0,3.22,0,0,0.81,0.81,0,0.81,0,0,0,0.81,0,1.61,21.75,0,0.81,8.06,20.14,0,0,2.42,0,0,3.22,0,0,0,0,2.42,0,0,3.22,0,0
 48-58,0,0,0,3.44,0,1.72,0.57,0,1.72,2.3,0,0.57,0,0,0,0.57,0,0.57,30.99,0,0,5.16,8.61,0.57,0,1.15,0,0,0.57,0,0,0,0,2.3,0,0,0.57,0,0.57
 60-70,0,0,0,4.91,0,2.94,0,0.98,0.98,11.78,0,0,0.98,0,0,0.98,0.98,0,37.3,0,0,4.91,8.83,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0,2.94,0.98,0
 72-82,0,0,0,3.93,0,5.89,0,0,3.93,8.83,0,0,0,0,0.98,0.98,0.98,0,53.99,0,2.94,2.94,11.78,0,0.98,4.91,0,0.98,1.96,0,0,0,0,3.93,0,0.98,6.87,0,1.96
 84-94,0,0,0,2.12,0,9.56,0,0,0,3.19,0,1.06,0,0,0,0,0,0,31.86,1.06,1.06,5.31,8.5,1.06,0,1.06,0,0,2.12,0,1.06,0,0,3.19,0,1.06,5.31,0,0
 96-106,0,0,0,8.74,0,1.09,0,0,2.19,7.65,1.09,2.19,1.09,0,3.28,0,0,0,36.06,0,1.09,1.09,4.37,0,0,1.09,0,0,7.65,0,0,1.09,0,1.09,1.09,2.19,2.19,1.09,0
108-118,0,0,0,9.19,0,3.06,0,1.53,1.53,3.83,0,0.77,0,0.77,0.77,0.77,0,0.77,28.34,1.53,0,2.3,6.89,0,0,2.3,0,0,2.3,0,0,0,0,0,0,0,3.06,0.77,0
120,0,0,0,7.84,0,1.96,0,0,0,5.88,0,0,1.96,0,0,0,0,0,43.12,0,1.96,3.92,7.84,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0,3.92,1.96,1.96
