stage,epidermis,erythrocytes,eye,fast_muscle,glial,heart,melanocytes,mesenchyme,mucous,neural,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,3.28,0,0,0,2.46,0
 36-46,0,0,0,0,0,0.81,0,0,0,2.42,0,0,0,1.61,0
 48-58,0,0.57,1.15,0,0,0,0.57,1.15,0,9.18,0,0,0,0,0.57
 60-70,0,0,5.89,0,1.96,0,0,0,0,5.89,0,1.96,0,0.98,0
 72-82,0,0.98,6.87,1.96,2.94,0,0,1.96,0,8.83,0.98,0,0,1.96,0
 84-94,2.12,0,3.19,0,0,0,0,0,1.06,7.43,0,0,0,1.06,1.06
 96-106,0,0,1.09,1.09,2.19,0,0,1.09,0,5.46,0,0,0,0,0
108-118,0.77,0,5.36,0,0.77,0,0,0,0,3.06,0,0,0,1.53,0
120,3.92,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0,0
