stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1,4,1,0,1,0,0,0,0,2,3,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,4.93,0,0,27.91,1.64,0.82,0,1.64,29.55,0.82,0,0,0,0,0.82,0,0,5.75,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,4.03,0,0,3.22,0,0,0,0,3.22,0,0,16.92,2.42,0,0,0.81,28.2,0,0.81,0,0,0,2.42,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,6.31,0,0,1.15,0,0,0,0,0.57,0,0,20.66,2.3,0,0,0,36.15,0,0,0.57,0,0,0,0,0,4.02,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,12.76,0,0,0,2.94,0,0,0,7.85,0,0,50.06,2.94,0,0,0.98,26.5,0,0.98,0,0,0,2.94,0,0,0.98,0,0,0,0,0
 72-82,0,0,2.94,0,0.98,0.98,0,12.76,0.98,0,5.89,0.98,0,0,0,12.76,0,0,154.12,12.76,0,0,0.98,47.12,0,0,0.98,0,0,3.93,0,0,4.91,0.98,0.98,2.94,0,0.98
 84-94,0,0,2.12,0,5.31,1.06,1.06,4.25,0,0,1.06,1.06,0,2.12,1.06,32.92,0,1.06,493.85,7.43,1.06,0,1.06,37.17,0,0,0,0,0,3.19,0,0,3.19,0,0,2.12,0,0
 96-106,0,0,4.37,0,15.3,10.93,3.28,28.41,0,0,10.93,8.74,0,2.19,4.37,38.25,1.09,1.09,759.53,26.23,0,2.19,2.19,155.18,1.09,2.19,2.19,0,1.09,24.04,0,0,1.09,1.09,0,4.37,1.09,1.09
108-118,0,0,3.06,0,15.32,3.06,7.66,27.57,3.06,1.53,6.89,4.6,0,1.53,0.77,28.34,0,0.77,1461.46,24.51,1.53,0.77,2.3,116.43,0.77,0,2.3,0,0,7.66,1.53,0,0.77,1.53,0.77,3.06,0,0
120,0,0,0,0,7.84,5.88,3.92,9.8,0,1.96,7.84,3.92,0,0,3.92,15.68,1.96,0,744.72,15.68,0,0,1.96,68.59,1.96,0,0,0,0,5.88,0,0,0,0,0,1.96,0,0
