stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,19,0,18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,50,1,0,0,0,0,17,0,15,138,7,0,0,0
 24-34,0,0,0,1.64,0.82,0,0,22.16,0,0,0,0.82,1.64,0,0,0,0.82,0,2.46,0.82,7.39,0,0,4.93,60.74,0,0,0,0,1.64,0,4.1,0.82,58.28,8.21,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,19.34,1.61,0,0,1.61,0.81,0,0,0,0.81,0,4.03,0,3.22,0,0,6.45,24.17,0,1.61,0,0,2.42,0,0,0.81,0.81,2.42,0,0,0
 48-58,0,0,0,0,0,0,0,13.2,1.15,1.15,0.57,3.44,0.57,0,0.57,0,1.15,0,4.59,0,1.15,0.57,0,5.16,17.21,0,0,0,0,0.57,0,0,0,0,2.3,0,0.57,0
 60-70,0,0,0,0,0.98,0,0.98,5.89,1.96,0,0.98,15.7,2.94,0,0,0,0,0,20.61,0,3.93,0,0,4.91,24.54,0,0,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0.98,0,7.85,2.94,26.5,12.76,2.94,0,0.98,19.63,4.91,0,0,1.96,0.98,0,73.62,0,24.54,0,0,19.63,43.19,0.98,0.98,0.98,0,1.96,0,0,0,0,2.94,0,1.96,0.98
 84-94,0,0,0,0,4.25,1.06,39.3,14.87,0,0,1.06,7.43,11.68,0,0,0,0,1.06,86.03,0,11.68,1.06,0,12.74,31.86,0,0,2.12,0,5.31,0,1.06,0,0,3.19,0,0,0
 96-106,0,0,0,0,15.3,3.28,46.99,14.21,1.09,1.09,0,19.67,8.74,0,0,2.19,0,0,217.48,0,38.25,1.09,3.28,21.86,42.62,0,0,0,0,12.02,0,0,0,0,2.19,0,1.09,0
108-118,0,0,0.77,0,49.02,4.6,105.7,18.38,3.06,3.83,2.3,27.57,8.43,0,0,1.53,0.77,0,317.87,0,40.6,0,0,29.87,58.98,0,0.77,0.77,0,4.6,0,0.77,2.3,0,1.53,0,3.83,1.53
120,0,0,0,0,56.83,3.92,27.44,11.76,7.84,7.84,1.96,15.68,17.64,0,0,0,0,1.96,158.74,0,19.6,1.96,0,25.48,50.95,0,0,1.96,0,13.72,0,0,1.96,0,3.92,1.96,1.96,0
