stage,endocrine_pancreas,epidermis,eye,fast_muscle,glial,gut,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,1.61,3.22,0,0.81,0,0,0,0
 48-58,0,1.72,1.15,0.57,0,0,0,0,0,1.15,0.57,0,0,0,0,0,1.72
 60-70,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,2.12,1.06,0,1.06,0,0,0,0
 96-106,0,1.09,0,0,0,1.09,0,1.09,0,1.09,6.56,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0.77,0,1.53,0,2.3,0,0,0.77,0,1.53,0,0
120,0,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0,1.96,0,0
