stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,5.26,0,0,13.14,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,0,0,0,6.29,0,9.44,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,59,2,0,1,0,0,0,2,6,7,1,0,5,1,0,8,0,0,4,31,3,0,1,0,0,96,6,2,4,7,15,0,0,0,0,0
 24-34,0,0,0.82,3.28,49.25,0,0,12.31,0,9.03,0,1.64,2.46,0.82,1.64,0.82,20.52,2.46,0,9.85,13.13,0,3.28,57.46,0.82,1.64,6.57,0,0,293.87,0,11.49,0.82,4.93,12.31,0,0,1.64,0,0
 36-46,0,0,0,0,20.95,0,0,7.25,0,4.03,0,4.83,0.81,0,0.81,0,3.22,3.22,0.81,8.86,12.09,0.81,2.42,28.2,1.61,3.22,3.22,0,0,240.09,0,4.03,0,0,12.89,0,0,2.42,0,0.81
 48-58,0,0,0,1.15,21.23,0,0,8.61,0,7.46,0,2.3,0.57,0,0.57,0,5.74,2.3,0.57,15.49,10.9,0,1.72,25.25,0,2.87,4.59,0,0.57,107.3,0,2.3,0,0,9.18,0,0,1.72,0,0
 60-70,0,0,0,0,24.54,1.96,0,5.89,0,5.89,0.98,5.89,2.94,0,0,0,3.93,2.94,0.98,16.69,5.89,1.96,2.94,10.8,0.98,2.94,3.93,0,0,76.56,0,2.94,0,0,1.96,1.96,0,1.96,0,0.98
 72-82,0,0,0.98,0,23.56,0.98,0,11.78,0,2.94,2.94,3.93,10.8,0,0,2.94,10.8,3.93,0,25.52,10.8,0.98,2.94,15.71,0.98,2.94,6.87,0,0.98,55.95,0,2.94,0,0,5.89,0.98,1.96,2.94,0,0
 84-94,0,0,2.12,0,60.54,0,1.06,8.5,1.06,15.93,0,2.12,22.3,0,0,3.19,20.18,2.12,1.06,15.93,8.5,1.06,3.19,13.81,1.06,7.43,7.43,0,0,194.35,0,5.31,0,0,1.06,9.56,1.06,0,0,0
 96-106,0,0,0,0,65.57,2.19,0,7.65,0,7.65,0,9.84,34.97,0,1.09,5.46,18.58,3.28,2.19,16.39,5.46,0,3.28,15.3,0,1.09,12.02,0,0,162.83,0,4.37,0,0,3.28,9.84,0,5.46,3.28,0
108-118,0,0,0,0,81.19,0,7.66,3.83,0.77,13.02,2.3,4.6,24.51,0,0,3.06,19.92,2.3,5.36,11.49,6.13,0,0.77,11.49,0,4.6,6.13,0,0,117.19,0,1.53,0,0,3.06,7.66,0,0.77,0.77,0
120,0,0,0,0,50.95,0,1.96,13.72,0,7.84,1.96,0,35.28,0,0,0,5.88,3.92,3.92,3.92,1.96,1.96,0,11.76,0,0,3.92,0,0,96.03,0,3.92,0,0,0,5.88,0,0,0,0
