stage,blastomeres,erythrocytes,eye,glial,hatching_gland,heart,immune,mesenchyme,mucous,muscle,neural,pericytes,periderm
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57
 72-82,0,0,0,0,0,0,0,0,0,0,2.94,0,1.96
 84-94,0,0,0,0,0,0,0,0,0,1.06,1.06,0,3.19
 96-106,0,0,0,4.37,0,0,0,0,0,0,1.09,0,9.84
108-118,0,0,0.77,0.77,0,0,0,0.77,0,0,0.77,0,3.83
120,0,0,0,9.8,0,0,0,0,1.96,0,0,0,0
