stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,2279.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,1115.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,2.63,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,131.44,5.26,0,0,26.29,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,37.76,9.44,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,29,16,0,0,0,0,0,2,1,0,0,1,8,0,11,0,0
 24-34,0,0,0.82,0,0.82,5.75,8.21,0,0,0,0,0.82,0,1.64,0,0,0,0,0.82,0,0.82,0,0.82,23.8,0,1.64,0.82,0,0,0.82,0,0,0.82,0.82,0.82,4.1,0,54.18,0,0.82
 36-46,0,0,0,0,0,0,4.83,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0.81,17.72,0,0.81,0.81,0,0,0.81,0,0,0,0,0,5.64,0,9.67,0,0
 48-58,0,0,0,0,0,0.57,16.64,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0.57,0.57,0,0,15.49,0,1.15,0,0,0,0,0,0,0,0,0,3.44,0,5.74,0,0
 60-70,0.98,0,0,0,0.98,0,29.45,0,0,0,0.98,0,0,0,2.94,0,12.76,0,0,0,1.96,0,0,14.72,0,0,0,0,0.98,0,0,0,0,0,0,2.94,0,13.74,0,0.98
 72-82,0,0,0,0,0.98,4.91,29.45,0.98,0,0,5.89,0,0,0.98,7.85,0,13.74,0.98,0,0,7.85,0,0,31.41,0,0,0,0,0,0,0,0,0,0,0,1.96,0,30.43,0,0
 84-94,0,0,0,0,1.06,6.37,25.49,1.06,1.06,0,3.19,0,0,3.19,13.81,0,29.74,0,0,0,3.19,1.06,0,19.12,0,0,2.12,0,0,0,0,0,0,0,0,1.06,1.06,19.12,0,0
 96-106,0,0,0,0,1.09,7.65,33.88,0,0,0,2.19,0,0,9.84,12.02,0,62.29,0,1.09,0,6.56,0,4.37,7.65,0,1.09,0,0,0,3.28,0,0,0,0,0,3.28,0,46.99,1.09,1.09
108-118,0,0,0,0,2.3,6.89,25.28,0.77,0,1.53,5.36,0,0,2.3,14.55,0,78.89,0,0,0,17.62,0.77,1.53,13.02,0.77,1.53,0.77,0,0,1.53,0.77,0,0.77,0,0,0.77,0.77,28.34,0,1.53
120,0,0,0,0,3.92,0,11.76,0,0,0,1.96,0,0,0,35.28,1.96,39.2,0,0,0,3.92,1.96,0,17.64,0,0,0,0,0,0,0,0,0,0,0,0,1.96,43.12,0,0
