stage,epidermis,eye,fast_muscle,glial,gut,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,xanthophores
 14-21,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,5.75,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,3.22,0,0.81,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0
 72-82,0,2.94,0,0.98,0,26.5,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,113.64,0,0,4.25,0,0,0,0,0,0,0
 96-106,1.09,2.19,0,0,0,231.68,3.28,0,13.11,1.09,1.09,1.09,0,1.09,0,0
108-118,0.77,0.77,0.77,0,0,386.05,2.3,1.53,12.26,0,1.53,3.06,0.77,0,0.77,0.77
120,1.96,0,0,0,1.96,182.26,0,0,9.8,0,0,1.96,0,0,0,0
