stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,24.52,196.15,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,36.78,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.77,0,0,0,5.26,0,0,0,0,118.29,0,0,0,0,0,0,0,0,0,28.92,0,0,0,68.35,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,116.44,0,0,6.29,28.32,0,12.59,0,0,0,0,0,0,0
 14-21,1,0,1,0,85,1,0,0,4,0,0,3,7,0,0,13,0,1,0,9,2,4,21,19,1,0,121,0,3,0,2,1,0,0,0,0
 24-34,0,0,0.82,0,82.09,0,0,0.82,24.63,0,0,2.46,3.28,0,0,24.63,0,11.49,0,4.93,10.67,2.46,36.94,98.5,5.75,0,121.49,0,4.1,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,7.25,0,0,0.81,9.67,0,0,0,0.81,0.81,0,1.61,0,4.03,0,0.81,4.83,0,37.06,66.06,4.03,0,116.02,0,4.03,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,4.59,0,0,4.59,7.46,0,0.57,0,9.75,0,0,2.87,0,9.18,0,1.15,8.03,0.57,10.9,42.46,1.15,0,61.97,0.57,1.15,0,0,2.3,0,0,0.57,0.57
 60-70,0,0,0.98,0,10.8,0,0,2.94,5.89,0,0.98,0.98,2.94,0,0,0,0,15.7,0,0.98,4.91,0,8.83,42.21,0.98,0,69.69,0,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,0,0,17.67,0,0,0.98,1.96,0,3.93,12.76,0.98,0,0.98,0.98,0,40.25,0,4.91,33.38,0.98,10.8,88.35,3.93,0,62.83,0,0,0,0,0.98,6.87,0,0,0
 84-94,0,0,1.06,0,26.55,0,0,1.06,13.81,1.06,0,13.81,3.19,0,0,9.56,0,65.85,0,2.12,11.68,0,3.19,114.7,2.12,0,151.87,0,4.25,1.06,0,0,23.36,0,0,0
 96-106,0,0,0,0,59.01,0,1.09,5.46,7.65,0,2.19,24.04,0,0,1.09,8.74,0,71.04,1.09,5.46,22.95,0,6.56,179.23,3.28,0,142.07,0,3.28,0,0,0,46.99,0,1.09,0
108-118,0,0,0,0,45.19,0,0,1.53,5.36,0,0.77,19.92,0.77,0,0.77,9.96,0,47.49,0.77,3.06,12.26,0,10.72,114.13,0.77,0,99.58,0,5.36,0,0,0,47.49,0.77,0.77,0
120,0,0,0,0,17.64,0,0,0,1.96,0,0,7.84,0,0,0,5.88,1.96,31.36,1.96,0,13.72,0,1.96,66.63,0,0,70.55,0,0,0,0,0,19.6,0,0,0
