stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,11,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,3,0,1,0,1,3,1,0,0,0,0,0
 24-34,0,0,0,0.82,14.78,0,0,3.28,4.1,0,0,0,0,3.28,0,0,3.28,0,2.46,0,0,2.46,17.24,6.57,0.82,0,0,0,72.24,0,0,6.57,0,0,2.46,0,0,1.64,0,0
 36-46,0,0,0,0,12.09,0,0,4.03,0.81,0,0.81,1.61,0.81,3.22,0,0,0,0,2.42,0.81,0,0,6.45,3.22,1.61,0,0,0,56.4,0,0,7.25,0,0,4.83,0,0,0.81,0,0
 48-58,0,0,0,0,4.59,0,0,2.87,1.72,0.57,1.72,0.57,1.15,1.72,0,0,0.57,0.57,14.35,0,0.57,0.57,14.92,2.3,0,2.3,0,0,91.23,0,0,5.16,0,0,1.72,0,0,0,0,0.57
 60-70,0,0,0,0,15.7,0,0,1.96,7.85,0.98,1.96,5.89,0.98,1.96,0.98,0,3.93,0.98,53.98,0,0,0,5.89,0.98,0.98,0,0,0,99.13,0,0,6.87,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,24.54,0,0,4.91,2.94,0,1.96,15.71,0.98,6.87,0.98,0.98,5.89,0,81.48,2.94,0,0,13.74,0.98,0,0.98,0,0,82.46,0,0,8.83,0,0,0,0.98,0,1.96,0,0.98
 84-94,0,0,0,1.06,36.11,0,1.06,7.43,14.87,1.06,0,44.61,1.06,16.99,0,1.06,10.62,1.06,83.9,2.12,0,0,5.31,1.06,1.06,2.12,0,0,230.46,0,0,18.05,0,0,1.06,3.19,0,2.12,0,0
 96-106,0,0,3.28,1.09,43.71,1.09,0,8.74,12.02,0,2.19,62.29,1.09,16.39,0,1.09,12.02,0,40.44,1.09,0,0,21.86,0,1.09,1.09,0,1.09,209.83,0,0,12.02,0,0,1.09,1.09,0,5.46,1.09,2.19
108-118,0,0,0,2.3,55.92,0,0,5.36,19.92,0,3.83,50.55,3.06,22.98,0,0,13.79,2.3,29.87,2.3,0,1.53,13.79,0,2.3,2.3,0,0,127.92,0,0,10.72,0,0,0,6.89,0,3.83,0,0.77
120,0,0,0,1.96,43.12,0,0,0,11.76,0,3.92,52.91,5.88,13.72,0,3.92,15.68,0,21.56,1.96,0,0,21.56,0,3.92,1.96,0,0,92.11,0,0,5.88,0,0,0,1.96,3.92,5.88,0,0
