stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,9,0,0,0,0,0,0,0,11,0,0,2,1,1,9,0,21,0,0,0
 24-34,0,0,0,1.64,0,4.93,0,0,2.46,0,0,0.82,1.64,21.34,1.64,4.1,0.82,0,1.64,1.64,0.82,13.95,0,0,0
 36-46,0,0,0,1.61,0,3.22,0.81,0,0.81,0,0,0.81,0,13.7,0,3.22,0,0,1.61,3.22,0,9.67,0,0,0
 48-58,0,0,0,5.74,0,3.44,0,0.57,0,0,0,1.15,0,7.46,0,4.02,0,0,0,1.72,0,5.16,0,0,0.57
 60-70,0,0,0,6.87,0.98,4.91,0.98,0,0,0,0,3.93,0,9.82,1.96,4.91,0,0,2.94,0,0,6.87,0,0,0
 72-82,0,0,0.98,0.98,0,8.83,0,0,0,0,0,1.96,0,14.72,0,7.85,2.94,0,1.96,0,0,4.91,0.98,0,0
 84-94,0,0,1.06,2.12,0,6.37,1.06,0,2.12,1.06,0,4.25,0,5.31,0,3.19,0,0,1.06,2.12,0,3.19,0,1.06,0
 96-106,0,0,1.09,5.46,0,3.28,0,0,0,0,0,3.28,0,4.37,0,14.21,2.19,0,2.19,0,0,2.19,0,0,0
108-118,0,0,0.77,1.53,0,2.3,0,0.77,0.77,1.53,0.77,5.36,0,8.43,0,8.43,1.53,0,1.53,0,0,1.53,0,0,0
120,0,0,0,1.96,0,3.92,3.92,0,0,1.96,0,0,0,1.96,0,9.8,1.96,0,5.88,0,0,0,0,0,0
