stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,49.04,490.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,12.26,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,73.6,5.26,0,31.54,2.63,5.26,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,12.59,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,9,1,0,3,0,0,0,0,0,0,0,0,0,0,4,10,0,6,30,0,0,0,0,0,1,2,2,13,0,1,0,0
 24-34,0.82,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0.82,13.95,0,4.93,28.73,0,0,0,0,0,0,0,2.46,20.52,0,5.75,0,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0.81,0,0,2.42,0,0,0,0.81,15.31,1.61,4.03,33.84,0,0,0,0,0,0,0,0,15.31,0,2.42,0,0
 48-58,0,0,0,0,0,0,8.03,0,0,0.57,0,0,0,0,0,0,0,1.15,4.59,0,0,28.69,0,0,0,0,0.57,0,0,0,12.05,0,1.72,0,0.57
 60-70,0,0,0,0,0,0,62.82,0,0,0,1.96,0,0,0,0,0,0,0,2.94,0,0,49.08,1.96,0.98,0,0,0,0,0,0,19.63,0,2.94,0,0
 72-82,0,0,0,0,0,0,118.78,0,0,0.98,2.94,4.91,0,1.96,0.98,0,0,0,6.87,0,0,40.25,0,0.98,0,0,0,0,0,0,7.85,0,0.98,0.98,0.98
 84-94,0,0,0,0,1.06,0,117.89,0,0,0,1.06,6.37,0,0,0,0,0,0,6.37,1.06,1.06,12.74,1.06,2.12,0,0,0,0,0,0,2.12,0,1.06,0,0
 96-106,0,0,0,1.09,0,0,101.63,2.19,2.19,0,3.28,1.09,0,2.19,0,0,0,0,4.37,0,0,27.32,0,1.09,0,2.19,0,0,0,0,2.19,0,2.19,0,0
108-118,0,0,0,0,0,0.77,91.92,0,0,0,1.53,1.53,0,0.77,0,2.3,0.77,0,2.3,0,0,22.98,0,1.53,0,0,0,0,0,0,1.53,0.77,4.6,0,0
120,0,0,0,0,0,0,113.67,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,27.44,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0
