stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,18.39,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,23.66,0,18.4,0,0,0,49.95,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,373.28,21.03,0,0,131.44,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,44.06,0,0,0,25.18,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,450.02,18.88,0,0,103.85,0,0,0,9.44,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,64,14,0,10,0,1,0,4,3,0,2,0,2,1,0,0,1,19,0,0,17,186,14,1,1,2,0,1,23,2,1,34,77,0,0,8,0,2
 24-34,0,0,2.46,1.64,20.52,2.46,0,32.83,0,2.46,2.46,13.13,1.64,0,2.46,0,1.64,0.82,3.28,0,0.82,51.71,0.82,0,32.01,442.44,12.31,6.57,4.1,0,0,14.78,0,3.28,0,9.85,120.67,0,0,16.42,0,3.28
 36-46,0,0,0,0,4.03,0.81,0,59.62,0.81,0.81,0.81,24.17,0,0,0.81,0,0.81,0,0,0,0.81,51.56,0,1.61,18.53,470.51,5.64,4.03,3.22,0,0,12.09,0,0.81,0,0,120.85,0,0,7.25,0,4.03
 48-58,0,0,0,0,7.46,0.57,0,115.91,0.57,1.72,4.02,39.59,0,0,1.15,0.57,0.57,1.72,0.57,0,1.72,86.07,0.57,3.44,13.77,407.98,2.87,3.44,3.44,0,0,8.03,0,0.57,0,0,99.27,0,1.15,6.89,0,1.15
 60-70,0,0,0,0,14.72,0.98,0,132.51,0,3.93,4.91,35.33,1.96,0,1.96,0.98,0.98,0,0.98,0,0.98,107.97,0.98,0.98,6.87,365.13,0.98,2.94,4.91,0,0,10.8,0,0.98,3.93,0,60.85,0,0,6.87,1.96,2.94
 72-82,0,0,3.93,0,15.71,13.74,0,117.8,0,1.96,7.85,53.01,2.94,0,1.96,2.94,1.96,0,3.93,0.98,0,172.77,0.98,2.94,17.67,345.54,1.96,3.93,4.91,0,3.93,11.78,0,1.96,0,0,29.45,1.96,4.91,13.74,4.91,2.94
 84-94,0,0,3.19,0,27.61,7.43,0,81.78,0,7.43,5.31,37.17,6.37,0,1.06,10.62,7.43,5.31,2.12,2.12,0,112.58,3.19,1.06,9.56,208.16,2.12,1.06,9.56,0,0,38.23,0,2.12,0,0,16.99,1.06,0,10.62,4.25,4.25
 96-106,0,0,1.09,0,29.51,3.28,1.09,69.94,0,6.56,4.37,37.16,3.28,0,1.09,6.56,1.09,2.19,2.19,3.28,0,122.4,1.09,4.37,10.93,175.95,4.37,9.84,10.93,0,4.37,17.49,0,2.19,0,0,6.56,0,3.28,13.11,7.65,4.37
108-118,0,0,0.77,0,29.87,5.36,1.53,58.98,2.3,10.72,1.53,25.28,9.19,0,0.77,4.6,4.6,3.83,3.06,3.83,1.53,94.98,0.77,2.3,14.55,159.32,1.53,3.83,13.79,0,2.3,14.55,0,1.53,3.06,0,6.89,2.3,1.53,13.79,2.3,5.36
120,0,0,0,0,25.48,1.96,0,33.32,0,11.76,11.76,21.56,3.92,0,1.96,3.92,3.92,3.92,0,3.92,0,64.67,0,1.96,5.88,113.67,7.84,1.96,3.92,0,0,27.44,0,0,0,0,3.92,3.92,0,5.88,1.96,3.92
