stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,10.51,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,9.44,0,0,28.32,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,148,36,6,0,7,0,0,5,8,0,0,0,1,0,0,52,0,0,33,71,12,7,17,1,0,0,1,4,3,3,12,40,0,0,16,0,0
 24-34,0,0,1.64,2.46,137.08,4.1,8.21,0,32.83,7.39,4.93,1.64,5.75,3.28,0,0.82,25.45,0.82,0,173.2,0.82,0,64.03,183.05,23.8,5.75,34.48,0,0,2.46,0,0,0,0,10.67,67.31,0,0,74.7,0,0
 36-46,0,0,0,0,74.93,0,12.89,0,29,11.28,3.22,2.42,5.64,0.81,0.81,0,10.47,0.81,0,277.96,0,0.81,53.98,108.77,24.17,4.83,18.53,0,0,3.22,0,0,0.81,0,0,43.51,0,1.61,46.73,0,2.42
 48-58,0.57,0,0,0,59.68,0,18.36,1.15,22.95,16.64,9.75,0,6.89,1.15,0.57,0,10.9,0.57,0,361.5,0,6.31,41.89,81.48,10.33,2.87,17.79,0.57,0.57,1.15,0,0,0.57,0,0,35,0,2.3,25.82,0,2.87
 60-70,0.98,0,0,0,81.47,1.96,5.89,0,35.33,23.56,8.83,1.96,4.91,5.89,0,2.94,15.7,0.98,0,565.36,0.98,11.78,34.35,56.93,10.8,0.98,11.78,0,7.85,0.98,0,0,0,0,0,13.74,0.98,4.91,21.59,5.89,0.98
 72-82,0,0,1.96,0.98,104.06,0.98,42.21,0,24.54,40.25,28.47,3.93,7.85,6.87,6.87,5.89,26.5,0,0,717.59,0.98,13.74,45.16,76.57,6.87,5.89,26.5,0,11.78,0,0,0,0,0,0,20.61,1.96,14.72,37.3,16.69,0.98
 84-94,0,0,0,0,158.24,2.12,49.92,1.06,45.67,28.68,15.93,1.06,7.43,7.43,5.31,5.31,16.99,0,1.06,470.48,1.06,16.99,24.43,52.04,7.43,7.43,16.99,0,6.37,10.62,0,0,0,0,0,9.56,3.19,8.5,26.55,7.43,7.43
 96-106,0,0,2.19,0,142.07,0,37.16,0,38.25,24.04,27.32,8.74,7.65,13.11,13.11,8.74,26.23,0,1.09,460.09,1.09,13.11,19.67,55.74,13.11,10.93,22.95,0,9.84,5.46,0,0,1.09,0,0,14.21,4.37,13.11,38.25,24.04,5.46
108-118,0,0,0,0,144,1.53,20.68,1.53,56.68,25.28,18.38,3.83,3.06,5.36,6.13,9.96,21.45,6.13,3.83,336.26,0,17.62,15.32,47.49,12.26,4.6,28.34,0,13.02,4.6,0,0,0.77,0.77,0,5.36,3.83,5.36,14.55,11.49,8.43
120,0,0,1.96,0,195.98,0,19.6,0,39.2,23.52,21.56,7.84,9.8,19.6,5.88,11.76,9.8,1.96,1.96,307.69,0,11.76,11.76,35.28,19.6,5.88,21.56,0,7.84,1.96,0,0,0,1.96,0,3.92,1.96,3.92,23.52,9.8,5.88
