stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,3,0,0,0,0
 24-34,0,1.64,0,0,0.82,0,0,0,0,0,0,1.64,0,0.82,3.28,0,0,0,0.82,1.64,0,7.39,0,0
 36-46,0,0,0,0,2.42,0,0,0.81,0,0,0,0.81,0,2.42,3.22,0,0,0,0,0,0,13.7,0.81,0
 48-58,0,0,0,0,0.57,6.89,0,0,0,0,0,3.44,0,0,1.72,0,0,0,0,1.72,0.57,10.9,0,0.57
 60-70,0,0,0,1.96,1.96,66.74,0,0,0,0.98,0,8.83,0,0,5.89,0,0,0.98,0,1.96,0,22.58,1.96,0
 72-82,0,0.98,0.98,10.8,0.98,165.9,0.98,2.94,0,0,0,28.47,0,0,9.82,0,0,0,0,2.94,0.98,37.3,5.89,0
 84-94,0,2.12,0,3.19,0,49.92,0,1.06,0,0,0,11.68,0,1.06,5.31,0,0,0,0,0,0,18.05,1.06,0
 96-106,0,1.09,0,4.37,0,69.94,0,2.19,0,0,1.09,17.49,0,0,4.37,0,0,1.09,0,1.09,0,37.16,0,0
108-118,0,0,0,2.3,0.77,61.28,0,2.3,0.77,0.77,0,19.92,3.06,0.77,3.83,0,0,4.6,0,1.53,0.77,25.28,2.3,0
120,0,0,0,0,0,37.24,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,3.92,1.96,9.8,0,0
