stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,635.34,0.82,0.82,0,12.31,0,1.64,0,0.82,0.82,0,0.82,1.64,25.45,10.67,22.98,22.98,0.82,0,0,0,1.64,0.82,6.57,0,0,0,0
 36-46,0,0,0,572.83,0.81,2.42,0.81,36.26,0,0.81,0,0,0,0,0,0,62.04,8.86,14.5,20.14,0,0.81,0.81,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,501.51,0,11.48,0,64.27,1.72,2.3,0,0,0,0,0,0,47.63,4.59,6.31,21.8,0.57,0,0.57,0,1.15,0,8.03,0,0,0,0
 60-70,0,0,0,507.45,0.98,4.91,0,57.91,0,0.98,0,0,0,0,0,0,53,9.82,1.96,17.67,0,0,0,0,0,0,2.94,0,0,0.98,0
 72-82,0,0,0,571.33,1.96,10.8,0,53.01,0,0.98,0,0,0.98,0,0,0,60.86,10.8,2.94,10.8,0,0.98,0,0,0.98,0,0.98,0,0,0,0
 84-94,0,0,0,1030.18,0,7.43,0,104.08,0,0,1.06,0,0,1.06,0,0,50.98,10.62,1.06,3.19,0,3.19,0,0,0,0,0,1.06,0,2.12,0
 96-106,0,0,0,917.99,2.19,8.74,1.09,80.87,0,3.28,0,0,0,0,0,1.09,45.9,13.11,0,7.65,0,2.19,0,0,1.09,1.09,0,0,0,0,1.09
108-118,0,0,0,831.07,0.77,3.06,0,92.68,0,2.3,0.77,0,0,0,0,0.77,26.81,6.89,0,4.6,0,2.3,0,0,1.53,0,0,0,0,0.77,0
120,0,0,0,568.34,0,1.96,0,80.35,0,1.96,0,0,0,0,0,0,23.52,9.8,0,13.72,0,1.96,3.92,0,1.96,0,0,0,0,0,0
