stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,122.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.43,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,144,0,0,0,1,0,0,0,0,0,0,0,3,0,2,767,1,0,0,0,1,2,1,25,0,0,0,0
 24-34,0,0,0,3.28,0,0,390.73,0,0.82,0,7.39,0,0,0,0,0,0,0,5.75,0,0.82,958.76,6.57,0,0,0,3.28,0,0,43.51,0,1.64,0,0
 36-46,0,0,0,0.81,0.81,0,592.97,0,0,0,66.06,0,0,0,0,0.81,0,0.81,6.45,0,2.42,895.9,3.22,0,0,0,0.81,0,0,32.23,0,0,0,0
 48-58,0,0,0,0.57,0,0,388.47,1.15,0,0,84.35,0,0,0.57,1.15,0,0,0.57,5.74,0,1.72,466.5,3.44,0,0,0.57,1.72,0,0,16.07,0,1.72,0,1.15
 60-70,0,0,0,0.98,0,0,322.92,0,0,0,128.58,0,0,0,0,0,0.98,0,3.93,0,0,284.64,1.96,0,0,0,0.98,0,0,4.91,0,0,0,0
 72-82,0,0,0,1.96,0,0,105.04,0.98,0,0,136.45,0,0,0,0,0,0,0,2.94,0,0,197.31,3.93,0,0,0,0,0,0,4.91,0,0,0,0
 84-94,0,1.06,0,1.06,0,0,103.02,1.06,0,0,77.53,0,0,1.06,0,0,0,0,7.43,1.06,0,132.75,11.68,0,0,0,0,0,0,3.19,0,1.06,1.06,0
 96-106,0,0,0,4.37,0,1.09,57.92,0,0,0,75.41,0,0,1.09,0,0,1.09,0,3.28,0,1.09,119.12,30.6,0,0,0,0,0,0,1.09,0,1.09,0,0
108-118,0,0,0,3.83,0,0,70.47,0,0,0,76.6,0,0,0,0,0,0,0,2.3,0.77,0,166.21,13.79,0.77,0,0,0.77,0,0,0,0.77,0.77,0,0
120,0,0,0,1.96,1.96,0,64.67,0,0,1.96,66.63,3.92,0,1.96,0,0,0,0,1.96,0,0,150.9,7.84,0,0,0,0,0,0,3.92,0,1.96,0,0
