stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,51,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,3.28,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,2.42,3.22,1.61,0,0,0,0,0.81,1.61
 48-58,0,0,1.15,1.15,0,0,0.57,0.57,3.44,0,1.15,0,0,0,0,0,0.57
 60-70,0,0,0.98,1.96,0,0,0,0,0.98,0,4.91,0,0,0,0,0,0
 72-82,0,0,1.96,0,0,0.98,0,0,2.94,0.98,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.12,2.12,1.06,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,4.37,2.19,0,0,0,0,0,0
108-118,0,0.77,0.77,0.77,0.77,0,0,0,0.77,0.77,3.83,0.77,0.77,0,0,0,0
120,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
