stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,6.57,0,0,0.82,0,0.82,0,0,0,0,0,0.82,7.39,0,0,4.93,43.51,2.46,0,1.64,0,0,0,0,0,0,0.82,16.42,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,0,3.22,0,0,2.42,0,0,0.81,0,0,0,0,0.81,7.25,0,0.81,1.61,12.09,0,0,0,0,0,0,0,0,0,0,6.45,0,0.81,0,0
 48-58,0,0,0.57,0,0,0,0,4.02,0,0.57,1.72,0,0,1.15,0,0,1.15,0,0,12.62,0.57,0,2.87,7.46,0.57,0.57,0,0,0,0,0,0,0,0,2.3,0.57,0,0,1.72
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0.98,0,0,0,0,3.93,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,3.93,0,0.98,5.89,0,0,0,0.98,0,0.98,0,0,13.74,0,0.98,1.96,3.93,0,0,0,0,0,0.98,0,0,0.98,0,1.96,0,0,0,0
 84-94,0,0,0,0,3.19,1.06,0,8.5,1.06,0,4.25,0,0,0,1.06,0,0,0,0,9.56,0,2.12,3.19,5.31,1.06,0,0,0,0,3.19,0,0,1.06,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,4.37,1.09,0,13.11,3.28,0,0,3.28,2.19,0,0,1.09,22.95,0,3.28,2.19,7.65,2.19,0,0,0,1.09,0,0,0,1.09,0,2.19,0,3.28,2.19,1.09
108-118,0,0,0,0,0.77,0,1.53,1.53,0.77,0,5.36,2.3,0,0,2.3,0,2.3,0.77,0.77,6.89,0,0,3.83,1.53,0.77,0,1.53,0,0,0.77,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,1.96,0,0,0,0,0,3.92,0,0,0,5.88,0,3.92,0,0,11.76,0,0,3.92,1.96,1.96,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0
