stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,4,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0
 24-34,0,0,1.64,0,4.1,0,0.82,0,0,0,0,0,85.37,0,0,0,0,4.1,18.06,0,20.52,0,0,0,2.46,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,4.03,0,0.81,0,0.81,0,0,0,33.03,0,0,0,0,1.61,4.83,0.81,20.14,0,0.81,0,0.81,0.81,0,0,2.42,0,0,0.81,0,0
 48-58,0,0,0.57,0,1.72,0,0,0.57,1.15,0.57,0,0,9.18,0,0,0,0,1.72,0.57,0,4.59,0,0.57,0,0,0,0,0,1.72,0,0,0,0,1.15
 60-70,0,0,2.94,0,0.98,0,0.98,0,0,16.69,0,0,13.74,0,0,0.98,0,0,0,0,2.94,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0.98,5.89,0,0,0,0.98,39.27,1.96,0,17.67,0,0,0,0,2.94,0.98,0,12.76,0.98,0.98,0.98,0,0,0,0,0,9.82,0,0,0.98,0
 84-94,0,0,7.43,1.06,4.25,0,0,0,0,107.27,0,0,56.29,0,0,0,0,4.25,0,0,14.87,0,1.06,0,0,1.06,0,0,1.06,74.34,0,1.06,0,1.06
 96-106,0,1.09,16.39,2.19,6.56,0,0,0,3.28,126.77,0,3.28,49.18,1.09,5.46,2.19,0,6.56,2.19,1.09,14.21,2.19,2.19,0,5.46,1.09,0,0,0,167.21,1.09,0,2.19,1.09
108-118,0,0,9.96,0,6.89,0,0.77,0,2.3,127.92,0,0,51.32,0.77,0.77,0.77,1.53,3.06,3.83,2.3,10.72,0,2.3,0,6.89,0.77,0.77,0,0,192.26,0,0,1.53,0
120,0,0,15.68,1.96,1.96,1.96,0,0,5.88,68.59,0,0,31.36,0,0,1.96,0,3.92,5.88,0,13.72,0,1.96,0,0,0,0,0,0,68.59,0,0,0,0
