stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,0,15.77,0,0,0,0,2.63,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,9.44,12.59,0,0,160.5,0,0,0,0,6.29,0,0,0,0,0,0,0,575.9,3.15,0,0,18.88,0,0,3.15,0,0,0,0
 14-21,0,1,6,1,10,0,0,0,105,0,0,0,0,0,0,0,1,640,1,0,0,0,1,2,2,3,552,1,0
 24-34,0,0,2.46,0,7.39,0,0,0.82,136.26,0.82,0,0.82,0.82,0,0,4.93,4.93,509.75,0.82,0.82,1.64,0,1.64,0,0,0,508.11,0.82,0
 36-46,0,0,0.81,0,5.64,0,0,0,135.35,0,0,0,0,0,0.81,3.22,0.81,340.8,0.81,0.81,1.61,0,0,0,0.81,0,376.25,0,0
 48-58,0,0,2.87,0,14.35,0.57,0.57,0.57,116.48,0,0,0,0.57,0.57,0,3.44,0.57,165.26,0,0,0,0,0.57,0,0,0,173.29,0,1.72
 60-70,0,0,0,0,1.96,0,0,0,107.97,0,0.98,0,0,0,0,0.98,0.98,63.8,0,0,0,0,0,0,0,0,34.35,0,0
 72-82,0,0,0.98,0.98,13.74,0,0,0,115.84,0,0,0,0,0,0.98,1.96,0,65.77,0,0,0,0,0,0,0,0,13.74,0.98,0
 84-94,0,0,1.06,0,9.56,0,0,0,93.46,0,0,0,0,0,0,0,0,53.1,0,0,0,0,0,0,0,0,13.81,0,0
 96-106,0,0,1.09,1.09,13.11,0,0,0,65.57,0,0,0,0,1.09,0,1.09,1.09,38.25,1.09,0,0,0,0,0,0,0,6.56,0,1.09
108-118,0,0,0,0.77,6.13,0,0,0,72,0,0.77,0,0,0,0,0.77,0,54.38,0,0,0,0,0,0,0,0,9.19,0.77,0
120,0,0,1.96,0,5.88,0,0,0,47.03,0,0,0,0,0,0,1.96,0,33.32,0,0,0,0,1.96,0,0,0,3.92,0,0
