stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,1093.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,30.65,478.11,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,10.51,23.66,18.4,0,0,0,63.09,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,425.85,5.26,0,0,197.15,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,34.62,15.73,0,3.15,0,75.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610.51,3.15,0,0,179.38,0,0,6.29,0,34.62,3.15,3.15,0,0,0
 14-21,1,0,2,19,14,0,15,0,0,0,10,1,0,0,0,1,0,0,0,0,16,0,0,6,385,12,2,3,6,0,9,1,15,1,11,89,3,0,0
 24-34,0,0,0,7.39,3.28,0,124.77,0,0.82,0,11.49,0,0,0.82,0,0.82,0.82,0,0,0.82,28.73,0,0,13.95,872.57,3.28,5.75,4.1,0.82,0,7.39,0,0,0.82,0.82,162.53,3.28,0,0
 36-46,0,0,0,1.61,3.22,0,344.02,0,0,0,17.72,1.61,0,0,0,0,0.81,0,0,0,22.56,0,0.81,5.64,684.01,0,2.42,2.42,0,0,4.83,0,0,1.61,0,162.75,2.42,0,0.81
 48-58,0,0,0,5.74,0,0,397.65,0.57,1.15,0.57,24.1,0.57,0,1.15,0.57,0,0,0,0,0,20.08,0,1.15,4.02,282.31,0.57,0,1.72,0,0,5.74,0,0.57,0,0,48.2,0.57,0,0
 60-70,0,0,0.98,2.94,1.96,0,329.79,0,0,0,35.33,5.89,0,0,0.98,0.98,0.98,2.94,0,0,13.74,0,1.96,3.93,150.17,0,0,0,0,0,2.94,0,0,0,0,11.78,1.96,0,0
 72-82,0,0,1.96,6.87,2.94,0,120.74,0,0,0,24.54,4.91,0,0,0,0.98,0,0,1.96,0,20.61,0.98,0.98,2.94,101.11,0,0.98,2.94,0,0,0,0,0,0,0,2.94,2.94,0,0
 84-94,0,0,2.12,3.19,3.19,0,95.58,0,0,0,18.05,12.74,0,0,4.25,1.06,0,0,1.06,0,20.18,0,3.19,6.37,75.4,0,3.19,1.06,0,1.06,2.12,0,0,3.19,0,3.19,2.12,1.06,0
 96-106,0,0,2.19,3.28,2.19,1.09,59.01,0,0,1.09,14.21,7.65,0,1.09,1.09,0,0,0,4.37,0,18.58,1.09,1.09,0,61.2,0,2.19,2.19,0,0,3.28,0,0,1.09,0,0,3.28,0,0
108-118,0,0,8.43,6.13,2.3,0.77,54.38,0,0,0,16.85,3.06,0,0,0.77,0,0.77,0,0.77,0,6.13,0,0,1.53,57.45,0.77,1.53,1.53,0,0,0.77,0,0,3.06,0,1.53,0,0,0
120,0,0,0,9.8,7.84,0,52.91,0,1.96,0,17.64,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,66.63,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
