stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,neural,otic,periderm,slow_muscle,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,1,2,1,0,0,0,0,2,0,0,1,1,0,2
 24-34,0,0.82,0,0,0,0,0.82,4.93,0,0,0,1.64,0,0.82
 36-46,0,2.42,0,0,0,0,0,20.14,0,0,0,4.03,0,0
 48-58,0,0,0,0,0,0,0,30.99,0,0,0,10.9,0,0
 60-70,0,7.85,0,0,0,0,0.98,55.95,0,0,0,12.76,0,0
 72-82,0.98,8.83,0,0,2.94,0,0.98,52.03,0,0,0,8.83,0,0
 84-94,0,5.31,0,0,2.12,0,1.06,37.17,0,0,0,3.19,0,0
 96-106,0,6.56,0,1.09,1.09,1.09,2.19,29.51,1.09,1.09,0,1.09,0,0
108-118,0.77,3.83,0,0,3.06,0,0,23.74,0,0,0,1.53,0.77,0
120,0,5.88,0,1.96,1.96,0,0,27.44,0,1.96,0,1.96,0,0
