stage,axial,blastomeres,epidermis,eye,glial,immune,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,23.66,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,5,0,0,0,0,3,0,0
 24-34,0,0,0.82,0.82,0.82,0,0,0,9.85,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,2.42,0,0,1.61,0,7.25,0,0.81,0,0.81,0,0,0
 48-58,0,0,0,2.3,0.57,0,1.15,0,5.74,0,0.57,0,0,0.57,0.57,0
 60-70,0,0,0,0.98,1.96,0,0,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,0,3.93,0.98,0,2.94,0,2.94,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,1.06,0,0,0,2.12,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,3.28,1.09,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0.77,0,0,0
120,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0
