stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,26.29,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,47.2,0,0,18.88,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,4,5,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,1,71,0,2,0,0,1,6,0,4,5,20,0,0,1,0
 24-34,0,0,0,0.82,0,2.46,0,0,0,0,0,0,0,2.46,0,0,0,2.46,0,0.82,36.94,0.82,0,0,0,0,0,1.64,3.28,0,4.1,0,0,0.82,0
 36-46,0,0,0,0.81,0,14.5,0,0,0.81,0,0,0,0,0,0,0,0,5.64,0,0.81,95.07,1.61,0,0,0,0,0,0,0,0,17.72,0,0,2.42,0
 48-58,0,0,0,0,0,10.9,0,0,0.57,0,0,0.57,0,0,0,0.57,0.57,2.3,0,0.57,33.28,0.57,0.57,0,0,0,0,0,0,0,6.31,0,0,0.57,0
 60-70,0,0,0,0,0,3.93,0,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0,27.48,0,0,0,0,0.98,0,0.98,0,0,2.94,0,0,0,0
 72-82,0,0.98,0.98,3.93,0,79.51,0,0.98,15.71,0.98,0,0,6.87,1.96,0.98,0,0,8.83,0.98,0.98,203.2,1.96,0.98,0,0,0,0,0,0.98,0,24.54,0,0.98,3.93,0
 84-94,0,1.06,1.06,1.06,0,41.42,0,0,9.56,3.19,0,0,3.19,1.06,0,0,0,6.37,1.06,4.25,87.09,1.06,2.12,0,1.06,1.06,0,1.06,0,0,5.31,1.06,0,1.06,0
 96-106,0,0,4.37,2.19,0,12.02,0,0,9.84,3.28,0,0,9.84,4.37,0,0,0,5.46,0,4.37,38.25,0,0,0,0,1.09,0,0,0,0,3.28,0,0,0,0
108-118,0,0,3.83,2.3,4.6,32.17,0.77,0,13.79,1.53,0,0,14.55,0.77,0.77,0,0,6.13,0,4.6,123.32,1.53,0.77,0.77,0.77,0,0,0.77,0,0,5.36,0,0,0,2.3
120,0,0,1.96,0,0,11.76,0,0,3.92,0,0,0,11.76,0,0,0,0,5.88,0,0,45.08,1.96,0,0,0,0,0,0,0,0,5.88,0,0,0,0
