stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,1,0,0,0,0,4,0,1,7,0,0,0,0,0
 24-34,2.46,0,4.1,0,0,0,0.82,0,0.82,0,0,0,0,0.82,6.57,0,0,1.64,72.24,0.82,0.82,1.64,0,3.28,0,0.82,0.82,7.39,0,0,0.82,0,0
 36-46,4.03,0,15.31,0.81,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0.81,63.65,0,0,0,0,0,0,0.81,0,14.5,0,0,0.81,0,0
 48-58,1.15,0.57,21.23,0.57,0,0.57,5.16,0,0,0,0.57,0,0.57,0,4.59,0,0,1.15,53.94,0,0.57,0.57,0,0.57,0,0,0,8.03,0,0,1.15,0,0.57
 60-70,4.91,0,34.35,0,0.98,0,2.94,2.94,0,0,0,0,0,0,7.85,0,0,1.96,61.84,0,0.98,0,0.98,2.94,0,0,0,6.87,0,0.98,1.96,0,0
 72-82,2.94,0,22.58,0,0,0,3.93,0,0,0,0,0,0,0,6.87,0,0.98,0,42.21,0,0,0,0,2.94,0,0,0,2.94,0,0,0.98,0,0
 84-94,4.25,0,19.12,0,0,0,2.12,0,0,1.06,0,1.06,0,0,5.31,0,1.06,0,15.93,0,0,1.06,0,1.06,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,4.37,0,0,0,2.19,0,0,0,0,0,0,0,2.19,1.09,0,1.09,7.65,0,0,0,0,1.09,0,0,0,0,0,0,0,2.19,0
108-118,0.77,0,6.89,0,0,0,2.3,0,0,0,0,0,0,0,4.6,0,0,0.77,16.09,0,0,0,0,0.77,0,0,0,0,0,0,0.77,0.77,0
120,5.88,0,19.6,0,0,1.96,17.64,0,0,1.96,0,0,1.96,0,13.72,0,0,3.92,76.43,3.92,1.96,1.96,0,11.76,0,0,0,5.88,1.96,0,7.84,0,0
