stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,9.44,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,69.23,0,0,0,34.62,0,0,0,0,9.44,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,8,12,30,0,19,0,0,0,1,1,1,17,0,0,0,1,0,0,144,0,271,242,2,3,2,4,0,1,1,36,4,307,796,90,0,0,7,0,0
 24-34,0,0.82,3.28,9.85,7.39,0,71.41,3.28,0,4.1,13.95,0,0.82,14.78,0,0,0.82,0,1.64,0.82,287.3,3.28,323.42,665.71,6.57,6.57,9.85,0,0.82,1.64,0,1.64,9.85,95.22,164.17,142.83,0,0,55.82,0,0.82
 36-46,0,0,0.81,0.81,0.81,0,258.62,13.7,0,4.83,66.87,0.81,0,12.89,0.81,0,0.81,0,0,0.81,335.16,8.06,164.36,1309.21,10.47,4.03,6.45,0,0,1.61,0,0,5.64,49.15,4.03,340.8,0,0.81,37.87,0,7.25
 48-58,0,0,0,4.59,0,0,310.43,10.33,1.15,8.61,126.81,0.57,0,13.2,0,0,0.57,0,1.15,1.72,293.21,8.61,85.5,912.92,15.49,4.59,11.48,0,1.15,3.44,0,0,4.59,36.15,0,255.34,0,1.15,33.28,0,17.21
 60-70,0,0,0,4.91,2.94,0,344.51,23.56,0,20.61,237.53,0,0,14.72,1.96,0,1.96,2.94,0,3.93,435.8,14.72,69.69,869.63,9.82,0.98,17.67,0,3.93,0.98,0,0,3.93,38.28,0,172.75,0,4.91,24.54,8.83,22.58
 72-82,0,0.98,0.98,16.69,7.85,0,235.6,45.16,0,16.69,368.12,2.94,0,15.71,1.96,0,2.94,5.89,2.94,0,507.52,20.61,65.77,750.97,8.83,7.85,21.6,0.98,6.87,3.93,0,0,1.96,31.41,0,88.35,1.96,8.83,66.75,44.17,25.52
 84-94,0,0,0,14.87,5.31,1.06,187.98,62.66,1.06,10.62,265.51,3.19,0,15.93,10.62,0,4.25,4.25,6.37,3.19,379.15,19.12,66.91,417.38,13.81,1.06,30.8,0,3.19,2.12,0,0,4.25,56.29,0,76.47,1.06,8.5,60.54,53.1,32.92
 96-106,0,1.09,0,24.04,13.11,5.46,156.28,163.93,1.09,15.3,327.85,0,0,30.6,16.39,2.19,13.11,13.11,6.56,6.56,366.1,26.23,53.55,480.85,16.39,4.37,46.99,1.09,8.74,8.74,0,0,6.56,66.66,0,46.99,1.09,14.21,85.24,65.57,32.79
108-118,0,0.77,0.77,10.72,4.6,10.72,132.51,148.6,2.3,9.19,274.98,0,0,20.68,6.89,0,19.92,7.66,11.49,3.83,288,20.68,56.68,443.49,18.38,6.89,46.72,0.77,13.02,6.13,0,0,4.6,67.4,0,26.04,0.77,16.09,47.49,40.6,30.64
120,0,1.96,0,25.48,21.56,3.92,119.55,115.63,0,5.88,250.85,9.8,0,9.8,7.84,1.96,11.76,5.88,17.64,1.96,221.46,9.8,78.39,388.04,11.76,5.88,35.28,0,11.76,3.92,0,0,3.92,21.56,0,15.68,0,7.84,43.12,45.08,13.72
