stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,lateral_line,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,220.67,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,7.89,0,0,0,0,0,0,44.69,0,0,28.92,0,0,0,0,0
 10-12,0,0,6.29,0,0,12.59,0,0,0,0,0,0,103.85,3.15,0,50.35,0,6.29,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,9,0,0,1,0,0,1,2,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0,1.64,5.75,0.82,0.82,0,0,0,0,2.46,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,5.64,0,0,0,0,0.81,0,3.22,0
 48-58,0,0,0,0,0,1.15,0,1.15,0,0,0,0,4.59,0,0,0,1.15,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,4.91,0,0,0,0.98,0.98,1.96,8.83,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,0,0,0,0,0,4.25,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,2.19,0,3.28,0,0,0,1.09,0,3.28,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0.77,0,0.77,1.53,0,0.77,4.6,0,0.77,0,0.77,0,0,1.53,0.77
120,0,0,0,1.96,3.92,9.8,0,1.96,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0
