stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,4,0,2,0,0,7,0,0,0,0,0,0,0,0,3,0,1,53,0,1,0,0,0,1,0,3,3,2,29,0,0,0,0
 24-34,0,0,0,0,0.82,0,4.1,0,0.82,2.46,0,0,0,0,0,0,0.82,0,2.46,0,4.93,134.62,0,8.21,0,0,0,0,0,0,0,0,39.4,0,0,0.82,0
 36-46,0,0,0,0,0,0,28.2,0,0,8.06,0,0,0,0,0,0,0,0,4.03,0,1.61,178.05,0,4.83,0,0,0,0,0,0,0,0,31.42,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,40.17,0,0,6.89,0,0,0,0,0,0,0,0,5.74,0.57,2.87,153.78,0,4.02,0,0,0,0,0,0,0,0,32.13,0,0,0,0
 60-70,0,0,0,0,0,0,72.63,0.98,0,11.78,0,0,0,0,0,0,0,0,8.83,0.98,0,191.4,0,6.87,0.98,0,0,0,0,0,0.98,0,23.56,0,0,1.96,0
 72-82,0,0,1.96,0,1.96,0,43.19,0,0.98,10.8,0,0.98,0,0,0.98,0,0,0,10.8,0,0.98,116.82,0,8.83,0,0,0,0,0,0,0,0,7.85,0.98,0,0,0.98
 84-94,0,0,0,0,5.31,1.06,36.11,1.06,1.06,7.43,1.06,0,1.06,0,0,0,0,0,3.19,2.12,2.12,64.78,0,3.19,3.19,0,0,0,0,0,0,0,4.25,0,1.06,0,0
 96-106,0,0,0,0,0,0,19.67,0,0,5.46,0,0,0,1.09,0,0,0,1.09,5.46,0,1.09,52.46,0,2.19,4.37,0,0,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,2.3,0,25.28,0,0.77,8.43,0,0,0,0.77,0,2.3,0,0,9.19,0,0,66.64,0,3.06,2.3,0,0.77,0,0,0,0,0,3.06,0.77,0,0.77,0
120,0,0,0,0,0,0,11.76,0,0,5.88,0,0,0,0,0,1.96,0,0,7.84,0,0,58.79,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0
