stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,1,15,13,0,12,0,0,0,30,2,2,0,0,0,0,14,0,0,7,107,4,4,9,6,0,0,1,12,28,0,11,145,0,0,1,0,0
 24-34,0,0,0,0.82,13.95,0.82,0,27.91,0,2.46,1.64,33.66,0.82,0,0.82,0,0,0.82,38.58,0,0,13.13,218.35,2.46,18.88,9.03,0,0,5.75,0,0,18.06,0.82,1.64,123.13,0,0,8.21,0,0.82
 36-46,0,0,0,0,8.06,0.81,0,24.98,0,0.81,2.42,24.98,0,0,0,0,0,0,20.14,0,0,6.45,120.85,2.42,14.5,1.61,0,0,4.03,0,0,9.67,0,0,53.98,0,0,3.22,0,0.81
 48-58,0,0,0,0,5.74,0,0,42.46,0,1.72,3.44,28.12,0,0,0,0,1.15,0.57,26.4,0.57,0,2.3,83.2,1.15,6.89,4.59,0,1.15,3.44,0,0,3.44,0.57,0,45.33,0,0,0.57,0,0.57
 60-70,0,0,0,0,2.94,0,0,59.87,0.98,0,0.98,26.5,1.96,0.98,0,0,0,1.96,39.26,0.98,1.96,3.93,69.69,0.98,23.56,4.91,0,0,4.91,0,0,1.96,0,0,26.5,0,0.98,0.98,0,0.98
 72-82,0,0,0.98,0,4.91,0,0,39.27,0,0,4.91,27.49,1.96,0,0,0,0,5.89,56.94,0.98,0.98,0,53.99,0,11.78,8.83,0,0.98,11.78,0,0,2.94,0,0,16.69,1.96,0,0,0,0
 84-94,0,0,0,0,3.19,0,0,31.86,1.06,1.06,1.06,19.12,1.06,0,0,0,1.06,3.19,30.8,0,0,2.12,22.3,0,10.62,9.56,0,0,8.5,0,0,7.43,0,0,11.68,0,2.12,1.06,0,0
 96-106,0,0,0,0,2.19,1.09,0,12.02,0,0,2.19,16.39,3.28,0,1.09,1.09,0,6.56,14.21,0,3.28,2.19,16.39,0,19.67,17.49,0,0,14.21,0,0,5.46,0,0,13.11,0,1.09,2.19,2.19,1.09
108-118,0,0,0,0.77,8.43,0,1.53,13.79,0,0.77,0.77,19.15,0.77,0.77,0.77,0,0,2.3,13.79,0,0,0,22.98,0.77,11.49,11.49,0,0,8.43,0,0,2.3,0,0,8.43,0.77,0.77,2.3,1.53,0
120,0,0,1.96,0,11.76,1.96,0,17.64,0,1.96,0,9.8,1.96,0,1.96,0,0,3.92,21.56,0,0,3.92,37.24,0,17.64,9.8,0,0,11.76,0,0,0,0,0,9.8,0,1.96,1.96,0,0
