stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,hatching_gland,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,10.51,0,2.63,0,0,10.51,2.63,10.51,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,3.15,3.15,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,10.9,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,23.56,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.96,44.17,0,0,0
 84-94,1.06,0,0,0,1.06,0,0,0,0,1.06,70.09,0,1.06,0
 96-106,1.09,0,0,0,3.28,0,0,1.09,1.09,0,92.89,0,2.19,0
108-118,0,0,0,1.53,0,0.77,0,0,0.77,3.06,98.81,0,0,0.77
120,0,0,1.96,0,1.96,0,0,0,1.96,1.96,127.39,0,0,0
