stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,18.39,496.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,2.63,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,115.66,2.63,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,8,2,12,0,0,0,0,1,8,0,1,0,0,1,14,1,0,0,1,8,0,0,0,2,0,2,1,0,0,0,1,0,0,0,19
 24-34,0,0,0.82,0,15.6,0,25.45,0,0,0.82,0,0,0,0,0,1.64,0,0,53.36,2.46,0.82,0,1.64,21.34,0,0,0,0,0,4.93,0,0,0,0.82,1.64,0,4.1,0,29.55
 36-46,0,0,0.81,0,5.64,0,17.72,0,0.81,0,0.81,0,0,0,0,2.42,0,0,27.39,1.61,0,0,0,32.23,0,1.61,0,0,0,0.81,0,0,0,0,1.61,0,20.95,0,16.92
 48-58,0,0,0,0,7.46,0,29.26,0,2.3,0,3.44,0,0,0,0,5.74,0,0,21.8,3.44,0,0.57,0.57,41.89,0,1.15,0.57,0,0,1.72,0,0,0,0,1.15,0,21.23,0,15.49
 60-70,0,0,0,0,12.76,0,102.08,0.98,2.94,0.98,16.69,0,0.98,0,0,15.7,0,0,9.82,5.89,0.98,0.98,0.98,100.12,0.98,3.93,0,0,0,2.94,0,1.96,0,0,0.98,0,21.59,0,22.58
 72-82,0,0,0,0,5.89,0.98,175.72,0,3.93,0.98,34.36,0.98,0,0.98,0,11.78,0,0,12.76,5.89,0,0,1.96,113.87,0,1.96,1.96,0,0,0,0,0,0,0,0.98,0.98,40.25,0,16.69
 84-94,0,0,2.12,0,15.93,0,143.38,0,5.31,0,21.24,1.06,0,0,1.06,21.24,0,0,28.68,9.56,0,0,0,57.35,0,1.06,0,0,0,2.12,0,0,0,0,1.06,0,16.99,2.12,16.99
 96-106,0,0,0,0,10.93,1.09,151.91,0,5.46,0,27.32,0,0,0,0,14.21,0,0,12.02,7.65,0,0,0,53.55,1.09,3.28,1.09,0,1.09,1.09,0,0,0,0,0,0,45.9,1.09,20.76
108-118,0,0,0,0,8.43,0,101.87,0,6.89,0,22.21,0,0,0,0,24.51,0,0,14.55,10.72,0,0,0,55.15,0,1.53,0.77,0,0.77,1.53,0,0,1.53,0,1.53,0,25.28,0,12.26
120,0,0,0,0,15.68,0,68.59,0,7.84,0,11.76,0,0,0,0,13.72,1.96,0,5.88,5.88,0,0,0,52.91,0,0,1.96,0,0,9.8,0,0,0,0,0,0,25.48,0,3.92
