stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.94,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,539.41,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,28.92,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,2,1,0,0,2,2,14,0,3,0,0,0,0
 24-34,0,5.75,0,6.57,0.82,0,1.64,0.82,0,0,1.64,0,1.64,2.46,0,1.64,0,0,0,87.01,0,32.01,0,0,0,5.75,0,18.06,0,12.31,0,0,0.82,0
 36-46,0,2.42,0,1.61,0.81,0,1.61,0,0,0,0,0,1.61,2.42,0,2.42,0,0,0.81,119.24,0,57.2,0,0,0,3.22,0,7.25,0,14.5,0,0,4.03,0
 48-58,0,2.3,0,6.31,0,0,4.59,0,0,1.15,0.57,0,2.3,1.15,0,2.3,0.57,0,0,65.99,0,62.54,0,0,0,5.16,0,4.02,0.57,9.18,0,0,4.02,0
 60-70,0,0.98,0,5.89,0,0,2.94,0.98,0.98,0,5.89,0,0.98,5.89,0,7.85,0.98,0,0,53,0,61.84,0.98,0,0,1.96,0,3.93,0,14.72,0.98,0,5.89,0.98
 72-82,0,8.83,0,17.67,0,0,7.85,0,0.98,2.94,20.61,0,1.96,2.94,0.98,9.82,0,0,0,93.26,0,116.82,0.98,0,0,0.98,0,6.87,0,12.76,5.89,0,8.83,0.98
 84-94,0,5.31,0,16.99,0,0,6.37,1.06,0,0,55.23,0,3.19,7.43,0,4.25,0,1.06,0,63.72,0,133.82,0,0,0,9.56,0,18.05,0,6.37,42.48,0,10.62,0
 96-106,0,12.02,2.19,43.71,3.28,0,9.84,0,0,2.19,76.5,2.19,8.74,10.93,2.19,9.84,2.19,0,1.09,71.04,0,225.13,0,0,1.09,14.21,0,7.65,0,3.28,56.83,2.19,4.37,1.09
108-118,0,12.26,3.83,25.28,0.77,0.77,8.43,1.53,0,1.53,72,0.77,7.66,3.83,2.3,9.96,0.77,0,1.53,69.7,0,137.87,0,0,0,13.02,0,6.13,0,1.53,59.75,0,13.02,0.77
120,0,7.84,0,37.24,0,0,3.92,0,0,1.96,86.23,0,0,1.96,3.92,3.92,0,0,1.96,60.75,0,94.07,0,0,0,1.96,0,5.88,0,3.92,19.6,0,9.8,0
