stage,epidermis,eye,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,1,8,3
 24-34,0.82,5.75,0,0,0,0,0,1.64,1.64,31.19,1.64,0,0,0,0,0,10.67,0
 36-46,0,1.61,0.81,0,0,0,0,0.81,0,20.95,0.81,0,0,0.81,0,0,6.45,0
 48-58,0,10.33,3.44,0,0,0,0,1.72,0,14.92,0.57,0,0,0,0,0,3.44,0
 60-70,0.98,17.67,6.87,0,0,0,0.98,1.96,0,38.28,0,0,0,0,0,0,11.78,0
 72-82,0.98,9.82,1.96,0,0,0,0,0,0,19.63,0,0.98,0,0,0,0,2.94,0
 84-94,1.06,3.19,2.12,0,1.06,0,0,0,0,13.81,0,1.06,0,0,1.06,0,0,1.06
 96-106,0,2.19,9.84,0,1.09,0,0,0,0,6.56,1.09,0,0,0,0,0,0,0
108-118,0.77,2.3,1.53,0.77,0.77,0.77,0,0,0,6.13,0,0,0,0,0,0,0.77,0
120,0,5.88,3.92,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0
