stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,7.89,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.7,9.44,0,0,75.53,0,0,6.29,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,18,3,0,9,0,0,0,13,2,0,0,0,0,0,0,0,11,0,0,7,172,1,2,3,3,0,2,1,10,9,7,117,0,0,0,0,0
 24-34,0,0,2.46,0,3.28,0,0,30.37,0,0.82,1.64,10.67,0.82,0.82,0,0,0,0,0.82,0,25.45,0,0,8.21,311.1,0.82,9.85,2.46,0.82,0,0.82,0,0,6.57,2.46,112.46,0,0,3.28,0,0
 36-46,0,0,0,0,2.42,0,0,41.89,0,0.81,0.81,20.95,0,0,0.81,0.81,0,0.81,0,0,48.34,0.81,1.61,10.47,399.61,0.81,19.34,0.81,0,0,2.42,0.81,0,0.81,0,104.74,0,0,3.22,0,0
 48-58,0,0,0,0,1.72,0,0,129.11,0.57,1.15,4.59,20.08,1.72,0.57,0,0,0,0.57,0,1.72,65.99,0.57,1.72,9.18,321.9,0.57,9.18,1.72,0,0.57,0.57,0,0,1.72,0,63.12,0,0.57,3.44,0,0.57
 60-70,0,0,0,0,1.96,0,0,326.85,0.98,2.94,2.94,32.39,0.98,0,0,0.98,0,0.98,0.98,0,79.5,0,2.94,4.91,440.7,0,9.82,2.94,0,0,1.96,0,0,0.98,0,23.56,0,0,1.96,0,0
 72-82,0,0,4.91,0,3.93,0.98,0,461.38,0,1.96,3.93,39.27,3.93,0,0,0.98,0,0.98,0,0,100.13,0,1.96,8.83,296.46,0,18.65,9.82,0,0,0,0,0,0.98,0,20.61,0,2.94,2.94,4.91,0
 84-94,0,0,4.25,0,6.37,1.06,0,402.51,0,3.19,4.25,23.36,4.25,0,0,0,1.06,1.06,2.12,0,69.03,1.06,2.12,2.12,145.5,1.06,15.93,2.12,0,0,4.25,0,0,0,0,11.68,0,3.19,2.12,2.12,4.25
 96-106,0,0,3.28,0,5.46,0,0,257.91,0,1.09,2.19,26.23,1.09,1.09,1.09,2.19,1.09,1.09,1.09,0,60.11,0,3.28,6.56,102.73,0,22.95,4.37,0,2.19,2.19,0,0,0,0,2.19,0,1.09,3.28,2.19,1.09
108-118,0,0,0.77,0,12.26,0,0.77,176.17,0,3.06,3.83,14.55,0.77,0,0,0,0.77,2.3,1.53,0.77,40.6,0.77,2.3,3.06,151.66,1.53,15.32,6.13,0,0,1.53,0,0,2.3,0,3.06,3.06,1.53,0.77,3.06,0.77
120,0,0,0,0,7.84,1.96,0,131.31,0,0,3.92,29.4,3.92,1.96,0,1.96,0,0,0,0,37.24,0,3.92,7.84,143.06,0,3.92,3.92,0,0,1.96,0,0,0,0,5.88,0,0,0,1.96,0
