stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0.81,0,3.22,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,9.18,0,6.31,0,0,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,5.89,0,47.11,0.98,10.8,0,0,0,0,0,0,0,0,1.96,14.72,0,26.5,0
 72-82,0,0,1.96,0.98,0,24.54,0,0,0,4.91,0.98,0,0,0,0,0,22.58,0,69.7,0.98,26.5,0,0,0,0,4.91,1.96,0,0,0.98,38.28,0.98,89.33,0.98
 84-94,0,0,2.12,3.19,0,22.3,0,1.06,1.06,2.12,0,0,1.06,1.06,0,0,16.99,0,90.27,0,23.36,0,1.06,0,0,2.12,1.06,0,0,2.12,39.3,1.06,111.51,1.06
 96-106,0,0,6.56,0,1.09,27.32,1.09,1.09,1.09,1.09,0,0,0,1.09,2.19,2.19,26.23,1.09,64.48,3.28,14.21,1.09,0,0,0,9.84,4.37,0,0,0,24.04,1.09,144.26,2.19
108-118,0,0,3.83,3.06,0,9.19,0,0.77,0,3.83,0.77,0,2.3,0,0.77,0.77,24.51,0,48.26,1.53,42.89,0.77,0.77,1.53,0,14.55,0,0.77,0.77,0,9.96,1.53,102.64,0.77
120,0,0,3.92,0,0,7.84,0,0,0,1.96,1.96,0,0,0,0,0,11.76,0,50.95,3.92,19.6,0,1.96,0,0,9.8,0,1.96,0,0,19.6,0,166.58,0
