stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,mesenchyme,mucous,neural,olfactory,periderm,spinal_cord,vasculature
 14-21,1,1,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0.82,0,4.1,0,0,0.82,0
 36-46,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,4.59,0,0,0.57,0.57
 60-70,0,0,5.89,0,0,0,0,0,0,9.82,0,0.98,0,1.96
 72-82,0,0,1.96,0.98,0,0,0,0.98,0,0,0.98,0,0.98,0
 84-94,2.12,0,5.31,0,0,0,0,0,0,2.12,0,1.06,0,0
 96-106,0,0,9.84,1.09,1.09,0,1.09,0,0,0,0,3.28,0,0
108-118,0,0,1.53,0,3.06,0,0,0.77,0,2.3,0,1.53,0,0
120,1.96,0,1.96,0,1.96,1.96,0,0,0,1.96,0,0,0,0
