stage,axial,blastomeres,epidermis,eye,fast_muscle,glial,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,neural,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,6.45,0,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,1.72,0,0.57,0,26.4,0,0,0.57,0,0,1.15,0,0,0.57,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,29.45,0,0,0.98,0,0,3.93,5.89,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,40.25,0,0,0.98,0,0,1.96,9.82,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,31.86,0,0,1.06,1.06,0,1.06,6.37,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,68.85,1.09,2.19,0,0,1.09,1.09,41.53,0,1.09,1.09,1.09,0
108-118,0,0,2.3,1.53,0,0,0,32.94,0,0,0,1.53,0.77,1.53,26.04,0,0.77,0,0,0
120,0,0,0,0,0,0,0,50.95,0,0,0,0,0,1.96,21.56,0,0,0,0,0
