stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,24.52,318.74,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,6.13,0,0,0,0,0,0,0
  7-9,10.51,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,5.26,0,26.29,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,12.59,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,1,0,0,3,0,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,2.46,0,0.82,0,0.82,0,0.82,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,0.81,0,0,0,0,0.81,0,0,0,0,0.81,2.42,0.81,0,6.45,0,0,0,0.81,0,0,0.81,0.81,0,0,1.61
 48-58,0,0,0,1.15,0,0,4.02,0,0,1.15,1.15,0,0,0,0,0,0.57,0.57,0,0,2.87,0,1.15,3.44,0,0,0,1.15,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0.98,0,0.98,0,0.98,0,0,0.98,0,0,0,0,0,0,4.91,0,0.98,2.94,0,0,0,1.96,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,4.91,1.96,0,2.94,0,0,0,1.96,0,0,0,0.98,0,0,0
 84-94,0,0,0,2.12,0,0,2.12,1.06,0,0,0,0,0,0,1.06,1.06,0,0,0,1.06,3.19,0,0,1.06,0,1.06,0,8.5,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,1.09,2.19,0,7.65,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,5.46,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,0,2.3,0,0,0,0.77,1.53,0,0,0,1.53,0,0,0.77,0,4.6,0,0,0,0.77,0,0,3.06,0,0,0,0.77,0,0,0
120,1.96,0,0,1.96,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,1.96,0,0,0,0,0
