stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,8,1,0,1,0,2,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,1.64,0,0,12.31,0,0,0,0,0,1.64,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0.81,12.89,0,0,0,0,0,1.61,0
 48-58,0,0,0.57,4.59,0,1.72,0,0,0,1.72,0,0.57,8.03,0,0,0,0,0,1.72,0
 60-70,0,0,0,0.98,0,0,0,0,0,2.94,0,0.98,2.94,0,2.94,0,0,0,0,0
 72-82,0,0,1.96,3.93,0,0,0.98,0,0,0.98,0.98,0.98,2.94,0,0.98,0,0,0,0,0.98
 84-94,0,0,1.06,2.12,0,1.06,0,0,0,3.19,0,0,3.19,0,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,3.06,0,0.77,0,0.77,1.53,0,0,0,0,0,0,0
120,0,0,0,3.92,1.96,0,0,0,0,1.96,0,1.96,5.88,0,1.96,0,0,0,0,0
