stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,liver,mesenchyme,muscle,neural,notochord,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,2,1,2,1,1,2,0,0,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,1.64,0,4.1,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0.81,1.61,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,2.87,0,1.15,0,1.72,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,4.91,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0.98,0,1.96,0,0,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,3.19,0,2.12,3.19,2.12,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,3.28,0,2.19,0,3.28,0,3.28,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,4.6,1.53,2.3,0,3.06,0.77,0.77,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,1.96,5.88,0,0,1.96,1.96,0,1.96,0,0,0
