stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,6,0,0,0,0,0,0,1,1,0,1,5,0,1,5,0,2,0,0
 24-34,0,1.64,0,2.46,0,1.64,0,0,0,2.46,0,0,32.01,0.82,0,2.46,0,4.1,0,0.82
 36-46,0,0.81,0,14.5,0,0,0,3.22,0,4.03,0.81,0,57.2,0,1.61,0,0,21.75,0,0
 48-58,0,0,0,20.08,0,0.57,0,5.74,0,3.44,0,1.72,31.56,0,0,0,0.57,8.61,0,0
 60-70,0,0,0,8.83,0,0,0,2.94,0,0,0,0,13.74,0,0,0.98,0,0.98,0,0
 72-82,0,0,0.98,2.94,0,0.98,0,0,0,0,0,0,13.74,0,0,0,0,0.98,0,1.96
 84-94,0,0,0,4.25,0,0,1.06,2.12,0,1.06,1.06,0,2.12,0,1.06,0,0,0,1.06,0
 96-106,0,2.19,0,0,0,0,0,2.19,1.09,1.09,0,0,4.37,0,0,0,0,0,0,0
108-118,0,2.3,0,0.77,0.77,0,0,0,0.77,0.77,0,0,0,0,0.77,2.3,0,0.77,0,0.77
120,0,1.96,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0
